family,condition,method,n_seeds,overall_completion_mean,overall_completion_sd,routine_completion_mean,routine_completion_sd,tc_completion_mean,tc_completion_sd,tc_on_time_completion_mean,tc_on_time_completion_sd,pwct_seconds_mean,pwct_seconds_sd,runtime_seconds_mean,runtime_seconds_sd,objective_evaluations_mean,objective_evaluations_sd
E4,global_pending_reauction,ER-HLNS-parallel-rescue,10,0.765,0.12703892666773003,0.6875,0.17921510973005472,0.8166666666666667,0.12297746456210364,0.8166666666666667,0.12297746456210364,8238.018418362979,3256.5408338132947,139.07747504,21.379457634929288,2960.8,1010.8638549940013
E4,suffix_local,ER-HLNS-parallel-rescue,10,0.76,0.10219806477837262,0.6875,0.1692508000965825,0.8083333333333333,0.14724842534109522,0.8083333333333333,0.14724842534109522,8448.582345563218,3126.927578326987,144.71910632,15.957406437370533,3135.1,1100.1327647152411
E5,equal_objective_evaluation_budget_seed_matched,C-ALNS-MP,10,0.685,0.13954290459289653,0.775,0.17480147469502527,0.625,0.20506698694768613,0.625,0.20506698694768613,11532.790647783437,4415.736767579362,743.4495998699999,500.62922565353654,3133.0,1098.870025677893
E6,conditional_truck_tc,C-ALNS-MP,10,0.675,0.14191155304938666,0.775,0.18446619684315546,0.6083333333333334,0.19661487076873765,0.6083333333333334,0.19661487076873765,11769.554951759072,4336.73006066485,167.13936305,23.533040612524985,343.0,255.8015724041673
E6,conditional_truck_tc,ER-HLNS-parallel-rescue,10,0.775,0.10341394704992381,0.675,0.17873008824606013,0.8416666666666667,0.12076147288491197,0.8416666666666667,0.12076147288491197,8019.003775004166,2689.7509374098204,127.50853589000005,16.013936450688046,2864.4,1125.456371630835
E7,beta_c_0.16,C-ALNS-MP,10,0.72,0.1669996673316713,0.8,0.17873008824606013,0.6666666666666666,0.2290614236454256,0.6666666666666666,0.2290614236454256,10540.30402407781,5055.6974618581835,111.34440184,15.602004783531742,279.4,69.0655083557954
E7,beta_c_0.16,ER-HLNS-parallel-rescue,10,0.755,0.11167910378500634,0.65,0.16457014715109583,0.825,0.14932977839684014,0.825,0.14932977839684014,8355.388196955935,3289.2392337489096,127.45098927999993,33.623685439334835,2898.5,1202.2258292203028
E7,beta_c_0.22,C-ALNS-MP,10,0.7,0.16996731711975946,0.8125,0.17921510973005472,0.625,0.252304196174791,0.625,0.252304196174791,11274.624050301834,5328.801323393651,164.06551232999988,24.307283650171172,240.3,58.581472232173276
E7,beta_c_0.22,ER-HLNS-parallel-rescue,10,0.76,0.10219806477837262,0.6875,0.1692508000965825,0.8083333333333333,0.14724842534109522,0.8083333333333333,0.14724842534109522,8448.582345563218,3126.927578326987,97.24398436000001,15.577550955349217,3135.1,1100.1327647152411
E7,beta_c_0.28,C-ALNS-MP,10,0.66,0.16799470891138868,0.8125,0.17921510973005472,0.5583333333333333,0.2486072315029383,0.5583333333333333,0.2486072315029383,12505.397388852503,5329.385174589152,167.9053759,48.80475295872953,228.9,59.279844804115335
E7,beta_c_0.28,ER-HLNS-parallel-rescue,10,0.685,0.1375378735718517,0.675,0.17873008824606013,0.6916666666666667,0.18446619684315546,0.6916666666666667,0.18446619684315546,10649.149188016141,4070.532759615297,132.85526459000002,21.435453171389586,2854.4,1207.7436446163197
