contrast,metric,difference,n_pairs,target_mean,baseline_mean,paired_mean_difference,paired_sd_difference,bootstrap_interval_method,bootstrap_interval_95_low,bootstrap_interval_95_high,exact_two_sided_sign_flip_p,wins,ties,losses,better_direction
E4_suffix_local_minus_global_reauction,overall_completion,target_minus_baseline,10,0.76,0.765,-0.0050000000000000044,0.059860949986893244,paired_seed_percentile_bootstrap_10000,-0.04000000000000002,0.030000000000000006,1.0,2,6,2,higher
E5_ER_HLNS_minus_equal_budget_C_ALNS,overall_completion,target_minus_baseline,10,0.76,0.685,0.075,0.12527746981977422,paired_seed_percentile_bootstrap_10000,1.6653345369377347e-17,0.145,0.12109375,7,1,2,higher
E6_ER_HLNS_minus_C_ALNS_conditional_truck_TC,overall_completion,target_minus_baseline,10,0.775,0.675,0.1,0.14529663145135574,paired_seed_percentile_bootstrap_10000,0.020000000000000028,0.19000000000000003,0.0703125,6,2,2,higher
E6_ER_HLNS_conditional_minus_strict_TC_eligibility,overall_completion,target_minus_baseline,10,0.775,0.76,0.015000000000000003,0.05797509043642026,paired_seed_percentile_bootstrap_10000,-0.01499999999999998,0.05499999999999999,0.6875,3,5,2,higher
E7_ER_HLNS_minus_C_ALNS_beta_0.16,overall_completion,target_minus_baseline,10,0.755,0.72,0.03500000000000002,0.15284342024147166,paired_seed_percentile_bootstrap_10000,-0.05499999999999997,0.125,0.54296875,5,1,4,higher
E7_ER_HLNS_minus_C_ALNS_beta_0.22,overall_completion,target_minus_baseline,10,0.76,0.7,0.06000000000000001,0.1429840705968481,paired_seed_percentile_bootstrap_10000,-0.024999999999999974,0.13999999999999999,0.25,6,2,2,higher
E7_ER_HLNS_minus_C_ALNS_beta_0.28,overall_completion,target_minus_baseline,10,0.685,0.66,0.025000000000000005,0.13176156917368245,paired_seed_percentile_bootstrap_10000,-0.05499999999999998,0.09999999999999998,0.6328125,6,1,3,higher
E7_C-ALNS-MP_beta_0.16_minus_0.22,overall_completion,target_minus_baseline,10,0.72,0.7,0.01999999999999999,0.04216370213557836,paired_seed_percentile_bootstrap_10000,-0.004999999999999988,0.04499999999999998,0.3125,4,5,1,higher
E7_C-ALNS-MP_beta_0.28_minus_0.22,overall_completion,target_minus_baseline,10,0.66,0.7,-0.03999999999999998,0.03944053188733076,paired_seed_percentile_bootstrap_10000,-0.06499999999999997,-0.019999999999999973,0.03125,0,4,6,higher
E7_ER-HLNS-parallel-rescue_beta_0.16_minus_0.22,overall_completion,target_minus_baseline,10,0.755,0.76,-0.0050000000000000044,0.03689323936863109,paired_seed_percentile_bootstrap_10000,-0.025000000000000012,0.015000000000000003,1.0,2,5,3,higher
E7_ER-HLNS-parallel-rescue_beta_0.28_minus_0.22,overall_completion,target_minus_baseline,10,0.685,0.76,-0.07499999999999998,0.06770032003863301,paired_seed_percentile_bootstrap_10000,-0.11499999999999999,-0.034999999999999996,0.015625,0,3,7,higher
E4_suffix_local_minus_global_reauction,routine_completion,target_minus_baseline,10,0.6875,0.6875,0.0,0.05892556509887896,paired_seed_percentile_bootstrap_10000,-0.0375,0.0375,1.0,1,8,1,higher
E5_ER_HLNS_minus_equal_budget_C_ALNS,routine_completion,target_minus_baseline,10,0.6875,0.775,-0.0875,0.10290907529357057,paired_seed_percentile_bootstrap_10000,-0.15,-0.0375,0.0625,0,5,5,higher
E6_ER_HLNS_minus_C_ALNS_conditional_truck_TC,routine_completion,target_minus_baseline,10,0.675,0.775,-0.1,0.12909944487358058,paired_seed_percentile_bootstrap_10000,-0.1875,-0.0375,0.0625,0,5,5,higher
E6_ER_HLNS_conditional_minus_strict_TC_eligibility,routine_completion,target_minus_baseline,10,0.675,0.6875,-0.0125,0.07095577652469334,paired_seed_percentile_bootstrap_10000,-0.05,0.025,1.0,1,7,2,higher
E7_ER_HLNS_minus_C_ALNS_beta_0.16,routine_completion,target_minus_baseline,10,0.65,0.8,-0.15,0.12909944487358055,paired_seed_percentile_bootstrap_10000,-0.225,-0.075,0.015625,0,3,7,higher
E7_ER_HLNS_minus_C_ALNS_beta_0.22,routine_completion,target_minus_baseline,10,0.6875,0.8125,-0.125,0.13176156917368248,paired_seed_percentile_bootstrap_10000,-0.2,-0.05,0.03125,0,4,6,higher
E7_ER_HLNS_minus_C_ALNS_beta_0.28,routine_completion,target_minus_baseline,10,0.675,0.8125,-0.1375,0.1496523749672331,paired_seed_percentile_bootstrap_10000,-0.225,-0.05,0.03125,0,4,6,higher
E7_C-ALNS-MP_beta_0.16_minus_0.22,routine_completion,target_minus_baseline,10,0.8,0.8125,-0.0125,0.03952847075210474,paired_seed_percentile_bootstrap_10000,-0.0375,0.0,1.0,0,9,1,higher
E7_C-ALNS-MP_beta_0.28_minus_0.22,routine_completion,target_minus_baseline,10,0.8125,0.8125,0.0,0.0,paired_seed_percentile_bootstrap_10000,0.0,0.0,1.0,0,10,0,higher
E7_ER-HLNS-parallel-rescue_beta_0.16_minus_0.22,routine_completion,target_minus_baseline,10,0.65,0.6875,-0.0375,0.06038073644245599,paired_seed_percentile_bootstrap_10000,-0.075,0.0,0.25,0,7,3,higher
E7_ER-HLNS-parallel-rescue_beta_0.28_minus_0.22,routine_completion,target_minus_baseline,10,0.675,0.6875,-0.0125,0.03952847075210474,paired_seed_percentile_bootstrap_10000,-0.0375,0.0,1.0,0,9,1,higher
E4_suffix_local_minus_global_reauction,tc_completion,target_minus_baseline,10,0.8083333333333333,0.8166666666666667,-0.00833333333333336,0.1072236614756599,paired_seed_percentile_bootstrap_10000,-0.07500000000000002,0.04999999999999999,1.0,3,4,3,higher
E5_ER_HLNS_minus_equal_budget_C_ALNS,tc_completion,target_minus_baseline,10,0.8083333333333333,0.625,0.18333333333333332,0.18757714462371256,paired_seed_percentile_bootstrap_10000,0.075,0.2916666666666667,0.01953125,8,1,1,higher
E6_ER_HLNS_minus_C_ALNS_conditional_truck_TC,tc_completion,target_minus_baseline,10,0.8416666666666667,0.6083333333333334,0.23333333333333334,0.2033667246413681,paired_seed_percentile_bootstrap_10000,0.12499999999999999,0.35833333333333334,0.0078125,8,2,0,higher
E6_ER_HLNS_conditional_minus_strict_TC_eligibility,tc_completion,target_minus_baseline,10,0.8416666666666667,0.8083333333333333,0.03333333333333335,0.05826715823167511,paired_seed_percentile_bootstrap_10000,0.0,0.07500000000000004,0.25,3,7,0,higher
E7_ER_HLNS_minus_C_ALNS_beta_0.16,tc_completion,target_minus_baseline,10,0.825,0.6666666666666666,0.15833333333333333,0.22030422287664833,paired_seed_percentile_bootstrap_10000,0.033333333333333326,0.2833333333333333,0.0703125,6,2,2,higher
E7_ER_HLNS_minus_C_ALNS_beta_0.22,tc_completion,target_minus_baseline,10,0.8083333333333333,0.625,0.18333333333333332,0.2071261320256361,paired_seed_percentile_bootstrap_10000,0.058333333333333334,0.3083333333333333,0.03125,7,2,1,higher
E7_ER_HLNS_minus_C_ALNS_beta_0.28,tc_completion,target_minus_baseline,10,0.6916666666666667,0.5583333333333333,0.13333333333333333,0.16292086998461308,paired_seed_percentile_bootstrap_10000,0.03333333333333334,0.22499999999999998,0.046875,7,2,1,higher
E7_C-ALNS-MP_beta_0.16_minus_0.22,tc_completion,target_minus_baseline,10,0.6666666666666666,0.625,0.04166666666666666,0.058925565098878946,paired_seed_percentile_bootstrap_10000,0.008333333333333331,0.075,0.125,4,6,0,higher
E7_C-ALNS-MP_beta_0.28_minus_0.22,tc_completion,target_minus_baseline,10,0.5583333333333333,0.625,-0.06666666666666667,0.06573421981221796,paired_seed_percentile_bootstrap_10000,-0.10833333333333334,-0.03333333333333331,0.03125,0,4,6,higher
E7_ER-HLNS-parallel-rescue_beta_0.16_minus_0.22,tc_completion,target_minus_baseline,10,0.825,0.8083333333333333,0.016666666666666673,0.03513641844631534,paired_seed_percentile_bootstrap_10000,0.0,0.041666666666666685,0.5,2,8,0,higher
E7_ER-HLNS-parallel-rescue_beta_0.28_minus_0.22,tc_completion,target_minus_baseline,10,0.6916666666666667,0.8083333333333333,-0.11666666666666665,0.11915339216404008,paired_seed_percentile_bootstrap_10000,-0.19166666666666665,-0.049999999999999996,0.03125,0,4,6,higher
E4_suffix_local_minus_global_reauction,tc_on_time_completion,target_minus_baseline,10,0.8083333333333333,0.8166666666666667,-0.00833333333333336,0.1072236614756599,paired_seed_percentile_bootstrap_10000,-0.075,0.049999999999999975,1.0,3,4,3,higher
E5_ER_HLNS_minus_equal_budget_C_ALNS,tc_on_time_completion,target_minus_baseline,10,0.8083333333333333,0.625,0.18333333333333332,0.18757714462371256,paired_seed_percentile_bootstrap_10000,0.075,0.3,0.01953125,8,1,1,higher
E6_ER_HLNS_minus_C_ALNS_conditional_truck_TC,tc_on_time_completion,target_minus_baseline,10,0.8416666666666667,0.6083333333333334,0.23333333333333334,0.2033667246413681,paired_seed_percentile_bootstrap_10000,0.12499999999999999,0.35833333333333334,0.0078125,8,2,0,higher
E6_ER_HLNS_conditional_minus_strict_TC_eligibility,tc_on_time_completion,target_minus_baseline,10,0.8416666666666667,0.8083333333333333,0.03333333333333335,0.05826715823167511,paired_seed_percentile_bootstrap_10000,0.0,0.07500000000000004,0.25,3,7,0,higher
E7_ER_HLNS_minus_C_ALNS_beta_0.16,tc_on_time_completion,target_minus_baseline,10,0.825,0.6666666666666666,0.15833333333333333,0.22030422287664833,paired_seed_percentile_bootstrap_10000,0.033333333333333326,0.2833333333333333,0.0703125,6,2,2,higher
E7_ER_HLNS_minus_C_ALNS_beta_0.22,tc_on_time_completion,target_minus_baseline,10,0.8083333333333333,0.625,0.18333333333333332,0.2071261320256361,paired_seed_percentile_bootstrap_10000,0.058333333333333334,0.3,0.03125,7,2,1,higher
E7_ER_HLNS_minus_C_ALNS_beta_0.28,tc_on_time_completion,target_minus_baseline,10,0.6916666666666667,0.5583333333333333,0.13333333333333333,0.16292086998461308,paired_seed_percentile_bootstrap_10000,0.03333333333333334,0.22499999999999998,0.046875,7,2,1,higher
E7_C-ALNS-MP_beta_0.16_minus_0.22,tc_on_time_completion,target_minus_baseline,10,0.6666666666666666,0.625,0.04166666666666666,0.058925565098878946,paired_seed_percentile_bootstrap_10000,0.008333333333333331,0.07499999999999998,0.125,4,6,0,higher
E7_C-ALNS-MP_beta_0.28_minus_0.22,tc_on_time_completion,target_minus_baseline,10,0.5583333333333333,0.625,-0.06666666666666667,0.06573421981221796,paired_seed_percentile_bootstrap_10000,-0.10833333333333334,-0.03333333333333331,0.03125,0,4,6,higher
