family,condition,method,seed,repeated_reassigned_task_count,reassignment_events_beyond_first,route_edit_distance,owner_churn,execution_rebind,invalidated_commitment_count,recovery_plan_change_count,recovery_plan_invalidation_count,claimed_protected_changed,airborne_protected_changed,repair_wall_ms
E4,global_pending_reauction,ER-HLNS-parallel-rescue,100,2,3,64.0,8.0,8.0,2.0,0.0,0.0,0.0,0.0,16455.500699999793
E4,global_pending_reauction,ER-HLNS-parallel-rescue,101,7,19,87.0,29.0,29.0,2.0,0.0,0.0,1.0,3.0,21199.275300000456
E4,global_pending_reauction,ER-HLNS-parallel-rescue,102,0,0,49.0,5.0,5.0,8.0,0.0,0.0,0.0,0.0,15791.43079999954
E4,global_pending_reauction,ER-HLNS-parallel-rescue,103,6,9,60.0,17.0,17.0,0.0,0.0,0.0,0.0,0.0,23314.41469999992
E4,global_pending_reauction,ER-HLNS-parallel-rescue,104,12,32,118.0,45.0,45.0,3.0,0.0,0.0,0.0,1.0,35438.02440000011
E4,global_pending_reauction,ER-HLNS-parallel-rescue,105,1,1,58.0,10.0,10.0,4.0,0.0,0.0,0.0,0.0,16204.973500000393
E4,global_pending_reauction,ER-HLNS-parallel-rescue,106,5,8,68.0,16.0,16.0,2.0,0.0,0.0,0.0,0.0,29881.670599999074
E4,global_pending_reauction,ER-HLNS-parallel-rescue,107,4,8,70.0,14.0,14.0,1.0,0.0,0.0,1.0,5.0,20712.88019999871
E4,global_pending_reauction,ER-HLNS-parallel-rescue,108,7,18,87.0,25.0,26.0,6.0,0.0,0.0,0.0,0.0,15706.558600000113
E4,global_pending_reauction,ER-HLNS-parallel-rescue,109,4,5,76.0,12.0,12.0,7.0,0.0,0.0,0.0,1.0,18115.308400000453
E4,suffix_local,ER-HLNS-parallel-rescue,100,2,2,64.0,7.0,7.0,2.0,0.0,0.0,0.0,0.0,15930.832599999998
E4,suffix_local,ER-HLNS-parallel-rescue,101,7,11,85.0,21.0,21.0,2.0,0.0,0.0,0.0,1.0,18604.06779999999
E4,suffix_local,ER-HLNS-parallel-rescue,102,1,1,51.0,4.0,4.0,10.0,0.0,0.0,0.0,5.0,17983.89340000001
E4,suffix_local,ER-HLNS-parallel-rescue,103,2,3,63.0,10.0,10.0,0.0,0.0,0.0,0.0,0.0,17512.146500000064
E4,suffix_local,ER-HLNS-parallel-rescue,104,3,8,91.0,15.0,15.0,3.0,0.0,0.0,0.0,0.0,38808.187199999826
E4,suffix_local,ER-HLNS-parallel-rescue,105,1,2,63.0,6.0,6.0,4.0,0.0,0.0,0.0,0.0,18686.37069999973
E4,suffix_local,ER-HLNS-parallel-rescue,106,3,4,74.0,10.0,10.0,3.0,0.0,0.0,0.0,0.0,31604.440900000223
E4,suffix_local,ER-HLNS-parallel-rescue,107,2,2,56.0,5.0,5.0,1.0,0.0,0.0,0.0,1.0,13749.68950000013
E4,suffix_local,ER-HLNS-parallel-rescue,108,3,3,67.0,7.0,7.0,6.0,0.0,0.0,0.0,0.0,20685.98780000017
E4,suffix_local,ER-HLNS-parallel-rescue,109,0,0,74.0,3.0,3.0,3.0,0.0,0.0,0.0,0.0,13028.546399999985
