algorithm_config_hash,assigned_count,completed,completed_by_agent,completed_seconds,completed_step,completion_quality,condition,deadline_seconds,deadline_step,demand_kg,failed,failed_reason,failed_step,family,final_status,first_assigned_step,first_service_step,formal_lb_id,fulfilled_mass_kg,last_assigned_step,lifeline_final,lifeline_init,method,nearest_truck_distance_start,nearest_uav_or_truck_distance_start,on_time,public_environment_hash,remaining_demand_kg,remaining_lifeline_at_service,scenario,seed,service_start_count,task_class,task_id,task_kind,truck_reachable,uav_eventual_serviceable,urgency_score
90171fbe6c43d824744bf74c21cfb67be192844fb30442991e2a129a5952d714,0,1,truck_2,2300.0,115,1.0,suffix_local,19200.0,960,800.0,0,,-1,E4,delivered,-1,115,LB-v1-20260822,800.0,-1,87.25443852135479,100.0,ER-HLNS-parallel-rescue,4712.939965300228,4712.939965300228,1,16843334a0974404f1c02bc2ae8ae627f60ccc0e5280a3eceff2741982ce7a9f,0.0,87.25443852135479,LB,100,1,routine_bulk,task_routine_bulk_0,normal,1,0,0.5914487685478238
90171fbe6c43d824744bf74c21cfb67be192844fb30442991e2a129a5952d714,0,1,truck_3,840.0,42,1.0,suffix_local,20400.0,1020,800.0,0,,-1,E4,delivered,-1,42,LB-v1-20260822,800.0,-1,96.22981873500012,100.0,ER-HLNS-parallel-rescue,2651.3638511663926,2651.3638511663926,1,16843334a0974404f1c02bc2ae8ae627f60ccc0e5280a3eceff2741982ce7a9f,0.0,96.22981873500012,LB,100,1,routine_bulk,task_routine_bulk_1,normal,1,0,0.328770105116882
90171fbe6c43d824744bf74c21cfb67be192844fb30442991e2a129a5952d714,0,0,None,-1.0,-1,0.0,suffix_local,21600.0,1080,800.0,1,lifeline_zero,935,E4,failed,-1,-1,LB-v1-20260822,0.0,-1,0.0,100.0,ER-HLNS-parallel-rescue,9455.797786582447,9455.797786582447,0,16843334a0974404f1c02bc2ae8ae627f60ccc0e5280a3eceff2741982ce7a9f,800.0,0.0,LB,100,0,routine_bulk,task_routine_bulk_2,normal,1,0,0.5197299581475797
90171fbe6c43d824744bf74c21cfb67be192844fb30442991e2a129a5952d714,17,1,truck_0,5000.0,250,1.0,suffix_local,22800.0,1140,800.0,0,,-1,E4,delivered,217,250,LB-v1-20260822,800.0,249,75.5651930696312,100.0,ER-HLNS-parallel-rescue,7467.100925813267,7467.100925813267,1,16843334a0974404f1c02bc2ae8ae627f60ccc0e5280a3eceff2741982ce7a9f,0.0,75.5651930696312,LB,100,1,routine_bulk,task_routine_bulk_3,normal,1,0,0.363407140663305
90171fbe6c43d824744bf74c21cfb67be192844fb30442991e2a129a5952d714,72,1,truck_1,4340.0,217,1.0,suffix_local,24000.0,1200,800.0,0,,-1,E4,delivered,108,217,LB-v1-20260822,800.0,216,82.28684922005918,100.0,ER-HLNS-parallel-rescue,4256.447388010565,4256.447388010565,1,16843334a0974404f1c02bc2ae8ae627f60ccc0e5280a3eceff2741982ce7a9f,0.0,82.28684922005918,LB,100,1,routine_bulk,task_routine_bulk_4,normal,1,0,0.2526593582373026
90171fbe6c43d824744bf74c21cfb67be192844fb30442991e2a129a5952d714,0,1,truck_2,2100.0,105,1.0,suffix_local,25200.0,1260,800.0,0,,-1,E4,delivered,-1,105,LB-v1-20260822,800.0,-1,91.80147945709251,100.0,ER-HLNS-parallel-rescue,4838.850094689374,4838.850094689374,1,16843334a0974404f1c02bc2ae8ae627f60ccc0e5280a3eceff2741982ce7a9f,0.0,91.80147945709251,LB,100,1,routine_bulk,task_routine_bulk_5,normal,1,0,0.23296054817545986
90171fbe6c43d824744bf74c21cfb67be192844fb30442991e2a129a5952d714,0,0,None,-1.0,-1,0.0,suffix_local,26400.0,1320,800.0,1,lifeline_zero,1009,E4,failed,-1,-1,LB-v1-20260822,0.0,-1,0.0,100.0,ER-HLNS-parallel-rescue,11793.267377757751,11793.267377757751,0,16843334a0974404f1c02bc2ae8ae627f60ccc0e5280a3eceff2741982ce7a9f,800.0,0.0,LB,100,0,routine_bulk,task_routine_bulk_6,normal,1,0,0.46244681084905065
90171fbe6c43d824744bf74c21cfb67be192844fb30442991e2a129a5952d714,145,1,truck_1,5700.0,285,1.0,suffix_local,27600.0,1380,800.0,0,,-1,E4,delivered,140,285,LB-v1-20260822,800.0,284,69.39930823656172,100.0,ER-HLNS-parallel-rescue,4587.683945260957,4587.683945260957,1,16843334a0974404f1c02bc2ae8ae627f60ccc0e5280a3eceff2741982ce7a9f,0.0,69.39930823656172,LB,100,1,routine_bulk,task_routine_bulk_7,normal,1,0,0.5338128687931456
90171fbe6c43d824744bf74c21cfb67be192844fb30442991e2a129a5952d714,23,1,uav_2,1320.0,66,1.0,suffix_local,12000.0,600,50.0,0,,-1,E4,delivered,43,66,LB-v1-20260822,50.0,65,75.43151971439907,100.0,ER-HLNS-parallel-rescue,4043.5148887186647,4043.5148887186647,1,16843334a0974404f1c02bc2ae8ae627f60ccc0e5280a3eceff2741982ce7a9f,0.0,75.43151971439907,LB,100,1,time_critical_lightweight,task_time_critical_lightweight_0,emergency,0,1,0.8572362469902544
90171fbe6c43d824744bf74c21cfb67be192844fb30442991e2a129a5952d714,45,1,uav_0,900.0,45,1.0,suffix_local,12600.0,630,50.0,0,,-1,E4,delivered,0,45,LB-v1-20260822,50.0,44,82.50372560433898,100.0,ER-HLNS-parallel-rescue,3938.2462884286088,3938.2462884286088,1,16843334a0974404f1c02bc2ae8ae627f60ccc0e5280a3eceff2741982ce7a9f,0.0,82.50372560433898,LB,100,1,time_critical_lightweight,task_time_critical_lightweight_1,emergency,0,1,0.7681740887900437
