algorithm_config_hash,assigned_count,completed,completed_by_agent,completed_seconds,completed_step,completion_quality,condition,deadline_seconds,deadline_step,demand_kg,failed,failed_reason,failed_step,family,final_status,first_assigned_step,first_service_step,formal_lb_id,fulfilled_mass_kg,last_assigned_step,lifeline_final,lifeline_init,method,nearest_truck_distance_start,nearest_uav_or_truck_distance_start,on_time,public_environment_hash,remaining_demand_kg,remaining_lifeline_at_service,scenario,seed,service_start_count,task_class,task_id,task_kind,truck_reachable,uav_eventual_serviceable,urgency_score
f42d94b7a35f9f5e14c04ed4146758b88c85995349f206e13dfbc0af426c6024,115,1,truck_3,3260.0,163,1.0,conditional_truck_tc,19200.0,960,800.0,0,,-1,E6,delivered,48,163,LB-v1-20260822,800.0,162,84.92370523540191,100.0,C-ALNS-MP,14039.592726000365,14039.592726000365,1,be9dbbdf14e8c082ba2c568ecd582fb7532c3cb20a73c46a062021419516c67d,0.0,84.92370523540191,LB,101,1,routine_bulk,task_routine_bulk_0,normal,1,0,0.34837428108412444
f42d94b7a35f9f5e14c04ed4146758b88c85995349f206e13dfbc0af426c6024,91,1,truck_2,1820.0,91,1.0,conditional_truck_tc,20400.0,1020,800.0,0,,-1,E6,delivered,0,91,LB-v1-20260822,800.0,90,91.18479475514165,100.0,C-ALNS-MP,7511.760618564474,7511.760618564474,1,be9dbbdf14e8c082ba2c568ecd582fb7532c3cb20a73c46a062021419516c67d,0.0,91.18479475514165,LB,101,1,routine_bulk,task_routine_bulk_1,normal,1,0,0.30016368013188016
f42d94b7a35f9f5e14c04ed4146758b88c85995349f206e13dfbc0af426c6024,107,1,truck_3,4140.0,207,1.0,conditional_truck_tc,21600.0,1080,800.0,0,,-1,E6,delivered,96,207,LB-v1-20260822,800.0,202,76.46107283312364,100.0,C-ALNS-MP,15315.096891728663,15315.096891728663,1,be9dbbdf14e8c082ba2c568ecd582fb7532c3cb20a73c46a062021419516c67d,0.0,76.46107283312364,LB,101,1,routine_bulk,task_routine_bulk_2,normal,1,0,0.527261765850137
f42d94b7a35f9f5e14c04ed4146758b88c85995349f206e13dfbc0af426c6024,187,1,truck_0,5660.0,283,1.0,conditional_truck_tc,22800.0,1140,800.0,0,,-1,E6,delivered,96,283,LB-v1-20260822,800.0,282,70.89296154154023,100.0,C-ALNS-MP,14102.848363601865,14102.848363601865,1,be9dbbdf14e8c082ba2c568ecd582fb7532c3cb20a73c46a062021419516c67d,0.0,70.89296154154023,LB,101,1,routine_bulk,task_routine_bulk_3,normal,1,0,0.3882350364392335
f42d94b7a35f9f5e14c04ed4146758b88c85995349f206e13dfbc0af426c6024,90,1,truck_1,1800.0,90,1.0,conditional_truck_tc,24000.0,1200,800.0,0,,-1,E6,delivered,0,90,LB-v1-20260822,800.0,89,90.37302611168272,100.0,C-ALNS-MP,7302.1073017293165,7302.1073017293165,1,be9dbbdf14e8c082ba2c568ecd582fb7532c3cb20a73c46a062021419516c67d,0.0,90.37302611168272,LB,101,1,routine_bulk,task_routine_bulk_4,normal,1,0,0.5361043015918403
f42d94b7a35f9f5e14c04ed4146758b88c85995349f206e13dfbc0af426c6024,47,1,truck_0,940.0,47,1.0,conditional_truck_tc,25200.0,1260,800.0,0,,-1,E6,delivered,0,47,LB-v1-20260822,800.0,46,95.45703455130577,100.0,C-ALNS-MP,3909.3896971690133,3909.3896971690133,1,be9dbbdf14e8c082ba2c568ecd582fb7532c3cb20a73c46a062021419516c67d,0.0,95.45703455130577,LB,101,1,routine_bulk,task_routine_bulk_5,normal,1,0,0.42701883575488137
f42d94b7a35f9f5e14c04ed4146758b88c85995349f206e13dfbc0af426c6024,108,1,truck_3,2200.0,110,1.0,conditional_truck_tc,26400.0,1320,800.0,0,,-1,E6,delivered,0,110,LB-v1-20260822,800.0,107,87.69504676064473,100.0,C-ALNS-MP,9533.630318869733,9533.630318869733,1,be9dbbdf14e8c082ba2c568ecd582fb7532c3cb20a73c46a062021419516c67d,0.0,87.69504676064473,LB,101,1,routine_bulk,task_routine_bulk_6,normal,1,0,0.5142470258374676
f42d94b7a35f9f5e14c04ed4146758b88c85995349f206e13dfbc0af426c6024,202,0,None,-1.0,-1,0.0,conditional_truck_tc,27600.0,1380,800.0,1,lifeline_zero,1121,E6,failed,108,-1,LB-v1-20260822,0.0,321,0.0,100.0,C-ALNS-MP,10348.908405801398,10348.908405801398,0,be9dbbdf14e8c082ba2c568ecd582fb7532c3cb20a73c46a062021419516c67d,800.0,0.0,LB,101,0,routine_bulk,task_routine_bulk_7,normal,1,0,0.3879694663765369
f42d94b7a35f9f5e14c04ed4146758b88c85995349f206e13dfbc0af426c6024,0,0,None,-1.0,-1,0.0,conditional_truck_tc,12000.0,600,50.0,1,lifeline_zero,224,E6,failed,-1,-1,LB-v1-20260822,0.0,-1,0.0,100.0,C-ALNS-MP,14151.4620521434,14151.4620521434,0,be9dbbdf14e8c082ba2c568ecd582fb7532c3cb20a73c46a062021419516c67d,50.0,0.0,LB,101,0,time_critical_lightweight,task_time_critical_lightweight_0,emergency,0,1,0.9705680205086198
f42d94b7a35f9f5e14c04ed4146758b88c85995349f206e13dfbc0af426c6024,0,0,None,-1.0,-1,0.0,conditional_truck_tc,13560.0,678,50.0,1,lifeline_zero,280,E6,failed,-1,-1,LB-v1-20260822,0.0,-1,0.0,100.0,C-ALNS-MP,9099.797527415509,9099.797527415509,0,be9dbbdf14e8c082ba2c568ecd582fb7532c3cb20a73c46a062021419516c67d,50.0,0.0,LB,101,0,time_critical_lightweight,task_time_critical_lightweight_1,emergency,0,1,0.8194413770540239
f42d94b7a35f9f5e14c04ed4146758b88c85995349f206e13dfbc0af426c6024,166,0,None,-1.0,-1,0.0,conditional_truck_tc,13200.0,660,50.0,1,lifeline_zero,290,E6,failed,0,-1,LB-v1-20260822,0.0,261,0.0,100.0,C-ALNS-MP,8636.287551441419,8636.287551441419,0,be9dbbdf14e8c082ba2c568ecd582fb7532c3cb20a73c46a062021419516c67d,50.0,0.0,LB,101,0,time_critical_lightweight,task_time_critical_lightweight_2,emergency,0,1,0.7276929418213184
f42d94b7a35f9f5e14c04ed4146758b88c85995349f206e13dfbc0af426c6024,229,0,None,-1.0,-1,0.0,conditional_truck_tc,14760.0,738,50.0,1,lifeline_zero,288,E6,failed,0,-1,LB-v1-20260822,0.0,287,0.0,100.0,C-ALNS-MP,10171.88886835233,10171.88886835233,0,be9dbbdf14e8c082ba2c568ecd582fb7532c3cb20a73c46a062021419516c67d,50.0,0.0,LB,101,0,time_critical_lightweight,task_time_critical_lightweight_3,emergency,0,1,0.7687067091449796
f42d94b7a35f9f5e14c04ed4146758b88c85995349f206e13dfbc0af426c6024,98,1,uav_3,1960.0,98,1.0,conditional_truck_tc,14400.0,720,50.0,0,,-1,E6,delivered,0,98,LB-v1-20260822,50.0,97,63.9046699564767,100.0,C-ALNS-MP,8972.910969096309,8972.910969096309,1,be9dbbdf14e8c082ba2c568ecd582fb7532c3cb20a73c46a062021419516c67d,0.0,63.9046699564767,LB,101,1,time_critical_lightweight,task_time_critical_lightweight_4,emergency,0,1,0.7273830460494194
