family,method,seed,tc_completed,tc_completed_by_truck
E6,C-ALNS-MP,100,7,4
E6,C-ALNS-MP,101,2,0
E6,C-ALNS-MP,102,6,2
E6,C-ALNS-MP,103,9,4
E6,C-ALNS-MP,104,6,1
E6,C-ALNS-MP,105,8,2
E6,C-ALNS-MP,106,8,1
E6,C-ALNS-MP,107,10,2
E6,C-ALNS-MP,108,7,5
E6,C-ALNS-MP,109,10,2
E6,ER-HLNS-parallel-rescue,100,11,7
E6,ER-HLNS-parallel-rescue,101,10,5
E6,ER-HLNS-parallel-rescue,102,11,5
E6,ER-HLNS-parallel-rescue,103,9,6
E6,ER-HLNS-parallel-rescue,104,7,1
E6,ER-HLNS-parallel-rescue,105,11,6
E6,ER-HLNS-parallel-rescue,106,11,5
E6,ER-HLNS-parallel-rescue,107,12,4
E6,ER-HLNS-parallel-rescue,108,9,5
E6,ER-HLNS-parallel-rescue,109,10,6
