scenario,method,seed,completed_tasks,overall_completion_rate,routine_bulk_completion_rate,time_critical_lightweight_completion_rate,pwct_seconds,weighted_service_score,runtime_seconds
L,C-ALNS,100,20,1.0,1.0,1.0,1135.84594167792,0.892286459621954,87.9236558
L,C-ALNS,101,15,0.75,1.0,0.583333333333333,10144.6848244134,0.643474873854989,91.629045
L,C-ALNS,102,17,0.85,1.0,0.75,7089.29666904582,0.721460371128438,89.4985416
L,C-ALNS,103,19,0.95,1.0,0.916666666666667,3465.21814076722,0.78951423721213,90.2445882000001
L,C-ALNS,104,19,0.95,1.0,0.916666666666667,4347.89865675875,0.703267715530951,92.5033837999999
L,C-ALNS,105,19,0.95,1.0,0.916666666666667,3615.17299053881,0.798500810442025,89.7257044999999
L,C-ALNS,106,20,1.0,1.0,1.0,1601.3153969056,0.818863843623077,91.2348116999997
L,C-ALNS,107,20,1.0,1.0,1.0,977.838186754858,0.916229020415195,90.0434899000002
L,C-ALNS,108,20,1.0,1.0,1.0,1789.52928911098,0.850012044839803,90.7322767999999
L,C-ALNS,109,19,0.95,1.0,0.916666666666667,3084.30548957819,0.8493166616732,89.3580952000002
L,DR-ALNS,100,20,1.0,1.0,1.0,1187.77973275979,0.906591243090704,70.1763217
L,DR-ALNS,101,20,1.0,1.0,1.0,2056.48762603108,0.820974665510034,77.0676448999999
L,DR-ALNS,102,17,0.85,1.0,0.75,7191.16560684045,0.70421776724061,71.5817493
L,DR-ALNS,103,19,0.95,1.0,0.916666666666667,3359.46598345079,0.802558630475275,73.6310037999999
L,DR-ALNS,104,18,0.9,1.0,0.833333333333333,5483.25990400657,0.743402337153937,76.4729831000002
L,DR-ALNS,105,19,0.95,1.0,0.916666666666667,3344.13288831435,0.829104543838088,76.6653657000002
L,DR-ALNS,106,18,0.9,1.0,0.833333333333333,5419.44922700892,0.696905215941699,72.8242743999999
L,DR-ALNS,107,20,1.0,1.0,1.0,1059.77610878658,0.899009146432034,72.234508
L,DR-ALNS,108,19,0.95,1.0,0.916666666666667,3261.66391464036,0.846238733319339,75.8969921999997
L,DR-ALNS,109,18,0.9,1.0,0.833333333333333,4955.20969436187,0.799553888228018,78.9160017999998
L,ER-HLNS,100,19,0.95,0.875,1.0,2290.7735629782,0.86148296718039,89.5738032
L,ER-HLNS,101,20,1.0,1.0,1.0,2419.95738192674,0.804429739977513,108.4085503
L,ER-HLNS,102,18,0.9,0.875,0.916666666666667,4837.5246447117,0.759881423484688,108.9759622
L,ER-HLNS,103,18,0.9,0.75,1.0,2442.74552937477,0.781662680986197,113.3258386
L,ER-HLNS,104,20,1.0,1.0,1.0,2577.53307399159,0.780052588885333,110.1458098
L,ER-HLNS,105,19,0.95,1.0,0.916666666666667,3509.9657186541,0.821367257192216,112.0531488
L,ER-HLNS,106,16,0.8,0.875,0.75,8557.87739725403,0.590425506504411,109.5955794
L,ER-HLNS,107,20,1.0,1.0,1.0,2836.49527553033,0.725026999520873,110.2300954
L,ER-HLNS,108,19,0.95,1.0,0.916666666666667,3848.47411598289,0.760271264822694,36.4944562999999
L,ER-HLNS,109,19,0.95,1.0,0.916666666666667,3342.91704319996,0.845830035532895,146.3722809
L,ER-HLNS-PR,100,19,0.95,0.875,1.0,2290.7735629782,0.86148296718039,88.8494013
L,ER-HLNS-PR,101,20,1.0,1.0,1.0,2974.69676918806,0.804429739977513,47.7040558
L,ER-HLNS-PR,102,18,0.9,0.875,0.916666666666667,4661.7146574963,0.759881423484688,109.1222892
L,ER-HLNS-PR,103,18,0.9,0.875,0.916666666666667,3957.73653598461,0.76546649350127,108.8663837
L,ER-HLNS-PR,104,19,0.95,1.0,0.916666666666667,4328.21567878003,0.762796317594299,111.8312519
L,ER-HLNS-PR,105,16,0.8,0.75,0.833333333333333,6568.8871747567,0.727406918145814,114.5427657
L,ER-HLNS-PR,106,18,0.9,0.875,0.916666666666667,5129.00580507924,0.676654429078166,112.1912296
L,ER-HLNS-PR,107,17,0.85,0.875,0.833333333333333,6484.47985611513,0.65971180074818,111.2062619
L,ER-HLNS-PR,108,20,1.0,1.0,1.0,2386.05380902768,0.757372853978901,47.8840402000001
L,ER-HLNS-PR,109,19,0.95,0.875,1.0,2398.56597904422,0.846701019885814,128.0302763
L,Greedy,100,19,0.95,1.0,0.916666666666667,3371.78925465407,0.833001291272453,58.3727934
L,Greedy,101,16,0.8,1.0,0.666666666666667,8467.42045650661,0.693034217504774,65.957329
L,Greedy,102,16,0.8,1.0,0.666666666666667,8598.73396013187,0.645522507705913,63.3531388
L,Greedy,103,19,0.95,1.0,0.916666666666667,3722.90063273001,0.747488370995531,62.4284369000001
L,Greedy,104,16,0.8,1.0,0.666666666666667,9475.05590044013,0.596550918134736,65.0804541
L,Greedy,105,18,0.9,1.0,0.833333333333333,4916.97646917635,0.790359767588077,63.2591358
L,Greedy,106,19,0.95,1.0,0.916666666666667,4488.27330758173,0.689382843206694,64.0930965000002
L,Greedy,107,19,0.95,1.0,0.916666666666667,2886.74309140115,0.85903639580776,63.2827419
L,Greedy,108,18,0.9,1.0,0.833333333333333,4979.96210199989,0.778628344400906,63.3303077
L,Greedy,109,19,0.95,1.0,0.916666666666667,3229.2858325558,0.832999471893713,14.0581817000002
L,PG,100,16,0.8,1.0,0.666666666666667,9426.01181109178,0.665044659140508,58.7764713
L,PG,101,16,0.8,1.0,0.666666666666667,9751.99963203469,0.660404842563635,65.1097583
L,PG,102,16,0.8,1.0,0.666666666666667,9619.84264952074,0.627013365011022,62.8747568
L,PG,103,16,0.8,1.0,0.666666666666667,10469.7523828305,0.588006678263851,64.4628149
L,PG,104,16,0.8,1.0,0.666666666666667,10036.6875831636,0.563340368324976,63.7027009000001
L,PG,105,18,0.9,1.0,0.833333333333333,6713.55726893745,0.72772617079202,62.1286969
L,PG,106,16,0.8,1.0,0.666666666666667,9209.12530126982,0.627540590033253,62.7637368000001
L,PG,107,20,1.0,1.0,1.0,2663.98413038121,0.780142070890689,62.4243766999998
L,PG,108,15,0.75,1.0,0.583333333333333,11492.4697707465,0.540042591636208,64.2140942999999
L,PG,109,16,0.8,1.0,0.666666666666667,10449.2777574438,0.65202321405293,62.9574517999999
LB,C-ALNS,100,16,0.8,0.75,0.833333333333333,7858.46856373654,0.493975820245824,140.1725428
LB,C-ALNS,101,9,0.45,0.875,0.166666666666667,20041.5346871787,0.301432772264126,88.9707227
LB,C-ALNS,102,9,0.45,0.375,0.5,16956.0842316133,0.270705890370024,107.5743518
LB,C-ALNS,103,15,0.75,1.0,0.583333333333333,11096.2903362027,0.443448741946201,119.1101181
LB,C-ALNS,104,11,0.55,0.75,0.416666666666667,15672.7221063063,0.342715405164241,126.4101595
LB,C-ALNS,105,14,0.7,0.75,0.666666666666667,11160.1115909553,0.376491741671129,129.9832721
LB,C-ALNS,106,13,0.65,0.75,0.583333333333333,12730.7071443807,0.329120187213515,97.0323432
LB,C-ALNS,107,15,0.75,0.75,0.75,7925.09271430286,0.583733858260471,113.0110511
LB,C-ALNS,108,15,0.75,1.0,0.583333333333333,10970.3451713732,0.393813301594602,141.0500285
LB,C-ALNS,109,15,0.75,0.875,0.666666666666667,9440.01392819007,0.556701568170247,131.5125788
LB,DR-ALNS,100,13,0.65,0.75,0.583333333333333,12779.1281472537,0.354305173760811,104.3497382
LB,DR-ALNS,101,14,0.7,1.0,0.5,12922.7059515864,0.412852279387513,38.9854741
LB,DR-ALNS,102,10,0.5,0.375,0.583333333333333,15588.2583011072,0.287859648214951,101.7717444
LB,DR-ALNS,103,16,0.8,1.0,0.666666666666667,9421.73300406977,0.446650651707095,105.874181
LB,DR-ALNS,104,12,0.6,0.75,0.5,14060.3819493894,0.355540280068412,110.3994061
LB,DR-ALNS,105,17,0.85,0.75,0.916666666666667,6317.18409362003,0.462751013964805,102.5621091
LB,DR-ALNS,106,15,0.75,0.75,0.75,9308.20266105055,0.380662495087932,104.1682639
LB,DR-ALNS,107,16,0.8,0.75,0.833333333333333,6539.48805278741,0.595804113494456,99.6360049
LB,DR-ALNS,108,14,0.7,0.875,0.583333333333333,11409.3582215941,0.374707365513962,97.0473797999998
LB,DR-ALNS,109,18,0.9,0.875,0.916666666666667,4777.85746345599,0.6904697471817,100.4447883
LB,ER-HLNS,100,16,0.8,0.75,0.833333333333333,7621.9267011865,0.594088521621558,80.798043
LB,ER-HLNS,101,13,0.65,0.875,0.5,13579.9595659703,0.481754751045069,97.1246026
LB,ER-HLNS,102,12,0.6,0.375,0.75,11926.0894888169,0.435037227173815,137.5093885
