family,condition,comparison,target,baseline,metric,n_pairs,paired_mean,paired_sd,bootstrap_replicates,bootstrap_ci_low,bootstrap_ci_high,wins,ties,losses,difference_direction,better_direction,sign_flip_p_exploratory,inference_label
E2,energy_0.8,PR-CMP-within-condition,ER-HLNS-parallel-rescue,C-ALNS-MP,overall,10,0.09,0.1242756792153816,10000,0.0199999999999999,0.1599999999999999,5,4,1,target_minus_baseline,higher,0.0625,exploratory_only; not confirmatory
E2,energy_0.8,PR-CMP-within-condition,ER-HLNS-parallel-rescue,C-ALNS-MP,routine,10,-0.1375,0.1243036157514691,10000,-0.2125,-0.0625,0,3,7,target_minus_baseline,higher,0.015625,exploratory_only; not confirmatory
E2,energy_0.8,PR-CMP-within-condition,ER-HLNS-parallel-rescue,C-ALNS-MP,time_critical,10,0.2416666666666666,0.1732496236612519,10000,0.1416666666666666,0.3416666666666666,8,2,0,target_minus_baseline,higher,0.0078125,exploratory_only; not confirmatory
E2,energy_0.8,PR-CMP-within-condition,ER-HLNS-parallel-rescue,C-ALNS-MP,PWCT,10,-3806.494899145863,3611.0923198253336,10000,-5911.777859959873,-1638.5661844809304,9,0,1,target_minus_baseline,lower,0.01171875,exploratory_only; not confirmatory
E2,energy_0.8,PR-CMP-within-condition,ER-HLNS-parallel-rescue,C-ALNS-MP,runtime,10,-46.38254742999968,34.87568946086732,10000,-67.0088573599996,-27.0744132499997,10,0,0,target_minus_baseline,lower,0.001953125,exploratory_only; not confirmatory
E2,energy_1.2,PR-CMP-within-condition,ER-HLNS-parallel-rescue,C-ALNS-MP,overall,10,0.055,0.1279105590289993,10000,-0.025,0.125,7,1,2,target_minus_baseline,higher,0.24609375,exploratory_only; not confirmatory
E2,energy_1.2,PR-CMP-within-condition,ER-HLNS-parallel-rescue,C-ALNS-MP,routine,10,-0.1375,0.1496523749672331,10000,-0.225,-0.05,0,4,6,target_minus_baseline,higher,0.03125,exploratory_only; not confirmatory
E2,energy_1.2,PR-CMP-within-condition,ER-HLNS-parallel-rescue,C-ALNS-MP,time_critical,10,0.1833333333333333,0.1657381543352922,10000,0.075,0.275,9,0,1,target_minus_baseline,higher,0.015625,exploratory_only; not confirmatory
E2,energy_1.2,PR-CMP-within-condition,ER-HLNS-parallel-rescue,C-ALNS-MP,PWCT,10,-2626.1235918590805,3625.0340245755306,10000,-4613.503036255051,-426.55992681200223,8,0,2,target_minus_baseline,lower,0.052734375,exploratory_only; not confirmatory
E2,energy_1.2,PR-CMP-within-condition,ER-HLNS-parallel-rescue,C-ALNS-MP,runtime,10,-49.181479519999854,36.83299246353271,10000,-70.76281310999994,-27.341320259999826,8,0,2,target_minus_baseline,lower,0.0078125,exploratory_only; not confirmatory
E2,wind_0.8,PR-CMP-within-condition,ER-HLNS-parallel-rescue,C-ALNS-MP,overall,10,0.07,0.1828782229912693,10000,-0.0449999999999999,0.17,7,1,2,target_minus_baseline,higher,0.2890625,exploratory_only; not confirmatory
E2,wind_0.8,PR-CMP-within-condition,ER-HLNS-parallel-rescue,C-ALNS-MP,routine,10,-0.1125,0.2389938399949997,10000,-0.275,0.0,1,4,5,target_minus_baseline,higher,0.1875,exploratory_only; not confirmatory
E2,wind_0.8,PR-CMP-within-condition,ER-HLNS-parallel-rescue,C-ALNS-MP,time_critical,10,0.1916666666666666,0.1886027244085328,10000,0.0833333333333333,0.3083333333333333,7,2,1,target_minus_baseline,higher,0.015625,exploratory_only; not confirmatory
E2,wind_0.8,PR-CMP-within-condition,ER-HLNS-parallel-rescue,C-ALNS-MP,PWCT,10,-2870.0197677550173,4795.586231313828,10000,-5610.181992569897,152.04782919334122,7,0,3,target_minus_baseline,lower,0.08984375,exploratory_only; not confirmatory
E2,wind_0.8,PR-CMP-within-condition,ER-HLNS-parallel-rescue,C-ALNS-MP,runtime,10,62.78269775999993,127.1979334481623,10000,-12.296186950000196,137.88378354999978,5,0,5,target_minus_baseline,lower,0.126953125,exploratory_only; not confirmatory
E2,wind_1.2,PR-CMP-within-condition,ER-HLNS-parallel-rescue,C-ALNS-MP,overall,10,0.035,0.085146931829632,10000,-0.0149999999999999,0.085,4,5,1,target_minus_baseline,higher,0.3125,exploratory_only; not confirmatory
E2,wind_1.2,PR-CMP-within-condition,ER-HLNS-parallel-rescue,C-ALNS-MP,routine,10,-0.175,0.1343709624716425,10000,-0.2625,-0.1125,0,1,9,target_minus_baseline,higher,0.00390625,exploratory_only; not confirmatory
E2,wind_1.2,PR-CMP-within-condition,ER-HLNS-parallel-rescue,C-ALNS-MP,time_critical,10,0.175,0.1386108327763849,10000,0.0916666666666667,0.2583333333333333,9,0,1,target_minus_baseline,higher,0.0078125,exploratory_only; not confirmatory
E2,wind_1.2,PR-CMP-within-condition,ER-HLNS-parallel-rescue,C-ALNS-MP,PWCT,10,-2300.432848625735,2551.18484692811,10000,-3810.967083872614,-849.4796646017463,8,0,2,target_minus_baseline,lower,0.017578125,exploratory_only; not confirmatory
E2,wind_1.2,PR-CMP-within-condition,ER-HLNS-parallel-rescue,C-ALNS-MP,runtime,10,41.00310585000009,97.81016988781428,10000,-9.491028259999933,105.70106197,4,0,6,target_minus_baseline,lower,0.3359375,exploratory_only; not confirmatory
