seed,event_opportunity,planner_refresh_total_including_initialization,event_driven_refresh_admitted,event_suppressed,repair_wall_ms_mean,affected_suffix_fraction,route_edit_distance_sum,prior_ledger_visible_contract_signatures_preserved_fraction,owner_churn,execution_rebind,claimed_or_airborne_tasks_in_changed_suffix,claimed_or_airborne_protection_opportunities,airborne_tasks_in_changed_suffix,airborne_protection_opportunities
100,1024.0,123.0,122,902.0,16.39835239024404,0.0349750178443968,64.0,0.991395793499044,7.0,7.0,76.0,20480.0,5.0,1836.0
101,1439.0,161.0,160,1279.0,13.402447847222032,0.0331028703121726,85.0,0.9924396090724692,21.0,21.0,127.0,28780.0,4.0,3821.0
102,1439.0,148.0,147,1292.0,12.481011458333407,0.0356979405034324,51.0,0.988903115663679,4.0,4.0,56.0,28780.0,5.0,5159.0
103,1439.0,158.0,157,1282.0,13.01325611111113,0.0238554216867469,63.0,0.9966003525560312,10.0,10.0,78.0,28780.0,4.0,2546.0
104,1439.0,148.0,147,1292.0,27.65034354166644,0.0277122641509433,91.0,0.9933039984694854,15.0,15.0,115.0,28780.0,14.0,2916.0
105,1439.0,155.0,154,1285.0,13.35936854166677,0.0316074653822998,63.0,0.9923887587822016,6.0,6.0,82.0,28780.0,11.0,2866.0
106,1155.0,144.0,143,1012.0,28.128113062283933,0.0381125226860254,74.0,0.9919224555735056,10.0,10.0,101.0,23100.0,7.0,1177.0
107,1439.0,152.0,151,1288.0,9.743573541666462,0.0373725934314835,56.0,0.992063492063492,5.0,5.0,77.0,28780.0,13.0,9471.0
108,1156.0,129.0,128,1028.0,18.180699135695868,0.024939306996248,67.0,0.9937356441845896,7.0,7.0,92.0,23120.0,4.0,171.0
109,1439.0,146.0,145,1294.0,9.005308402777766,0.029242819843342,74.0,0.994320987654321,3.0,3.0,91.0,28780.0,7.0,5410.0
