analysis_family,scenario,comparator,outcome,blockage_asymptote_B,n_pairs,mean_mainline,mean_comparator,mean_difference_mainline_minus_comparator,median_difference_mainline_minus_comparator,bootstrap_mean_difference_ci95_low,bootstrap_mean_difference_ci95_high
lb_blockage_robustness,LB,C-ALNS,overall_completion,0.15,10,0.85,0.78,0.07,0.05,-0.02,0.165
lb_blockage_robustness,LB,C-ALNS,routine_completion,0.15,10,0.85,0.9375,-0.0875,-0.0625,-0.175,-0.0125
lb_blockage_robustness,LB,C-ALNS,tc_completion,0.15,10,0.85,0.675,0.175,0.166666666666667,0.025,0.325
lb_blockage_robustness,LB,C-ALNS,pwct_seconds,0.15,10,6534.87294486339,9589.84142642273,-3054.96848155934,-3050.27964601062,-5816.46723421871,-226.08040582961
lb_blockage_robustness,LB,C-ALNS,runtime_seconds,0.15,10,179.50526084,105.33900136,74.16625948,64.7349950500001,12.4827948722499,152.4870732185
lb_blockage_robustness,LB,C-ALNS,makespan_seconds,0.15,10,23878.0,26496.0,-2618.0,0.0,-9844.0,4710.0
lb_blockage_robustness,LB,DR-ALNS,overall_completion,0.15,10,0.85,0.81,0.04,0.0499999999999999,-0.01,0.1
lb_blockage_robustness,LB,DR-ALNS,routine_completion,0.15,10,0.85,0.925,-0.075,-0.0625,-0.175,0.0125
lb_blockage_robustness,LB,DR-ALNS,tc_completion,0.15,10,0.85,0.733333333333333,0.116666666666667,0.0416666666666666,0.0333333333333333,0.216666666666667
lb_blockage_robustness,LB,DR-ALNS,pwct_seconds,0.15,10,6534.87294486339,8732.40265796013,-2197.52971309675,-1948.60674684886,-3904.53268718182,-790.774516481598
lb_blockage_robustness,LB,DR-ALNS,runtime_seconds,0.15,10,179.50526084,87.57111357,91.93414727,77.8796411499998,32.82164453175,164.68714401225
lb_blockage_robustness,LB,DR-ALNS,makespan_seconds,0.15,10,23878.0,26510.0,-2632.0,0.0,-9844.0,4668.0
lb_blockage_robustness,LB,C-ALNS,overall_completion,0.35,10,0.67,0.655,0.015,0.05,-0.11,0.15
lb_blockage_robustness,LB,C-ALNS,routine_completion,0.35,10,0.5625,0.675,-0.1125,-0.0625,-0.325,0.0875
lb_blockage_robustness,LB,C-ALNS,tc_completion,0.35,10,0.741666666666667,0.641666666666667,0.1,0.0833333333333333,-0.0666666666666667,0.266666666666667
lb_blockage_robustness,LB,C-ALNS,pwct_seconds,0.35,10,10272.408420259,11682.4493561163,-1410.04093585726,-413.089140830287,-5088.96055056243,2108.95813793043
lb_blockage_robustness,LB,C-ALNS,runtime_seconds,0.35,10,266.4436501,125.70191821,140.74173189,125.79854205,72.1476435015,210.84331645275
lb_blockage_robustness,LB,C-ALNS,makespan_seconds,0.35,10,27484.0,25160.0,2324.0,0.0,-2154.0,8048.0
lb_blockage_robustness,LB,DR-ALNS,overall_completion,0.35,10,0.67,0.695,-0.025,0.0,-0.15,0.095
lb_blockage_robustness,LB,DR-ALNS,routine_completion,0.35,10,0.5625,0.6875,-0.125,-0.0625,-0.35,0.0875
lb_blockage_robustness,LB,DR-ALNS,tc_completion,0.35,10,0.741666666666667,0.7,0.0416666666666666,0.0416666666666666,-0.125,0.2
lb_blockage_robustness,LB,DR-ALNS,pwct_seconds,0.35,10,10272.408420259,10693.4331259528,-421.024705693733,-1119.02133560201,-3724.15727934216,2967.77010965497
lb_blockage_robustness,LB,DR-ALNS,runtime_seconds,0.35,10,266.4436501,107.20288885,159.24076125,150.59530255,98.02009527075,224.767547925
lb_blockage_robustness,LB,DR-ALNS,makespan_seconds,0.35,10,27484.0,27334.0,150.0,0.0,-2154.0,2784.0
