family,condition,method,metric,n,mean,sd,median,min,max
E1,island_off,C-ALNS,overall,10,0.705,0.1690660620388767,0.75,0.45,1.0
E1,island_off,C-ALNS,routine,10,0.775,0.2266911751455907,0.875,0.25,1.0
E1,island_off,C-ALNS,time_critical,10,0.6583333333333333,0.2529151031131119,0.6666666666666666,0.1666666666666666,1.0
E1,island_off,C-ALNS,PWCT,10,10940.236300669108,5240.170988213939,10068.36020879043,2142.263868114557,19987.346346881423
E1,island_off,C-ALNS,runtime,10,221.40919007,24.13067737111631,224.76822860000016,159.71183629999996,243.0087681
E1,island_off,C-ALNS-MP,overall,10,0.7100000000000001,0.1449137674618943,0.75,0.45,0.9
E1,island_off,C-ALNS-MP,routine,10,0.7625,0.216105041331499,0.875,0.25,1.0
E1,island_off,C-ALNS-MP,time_critical,10,0.675,0.2498456313529873,0.7083333333333333,0.1666666666666666,1.0
E1,island_off,C-ALNS-MP,PWCT,10,10679.067145957062,4711.069825016953,9700.895202840342,4204.60662336426,19987.346346881423
E1,island_off,C-ALNS-MP,runtime,10,206.48610253,53.03643141929054,229.95590909999987,76.44230470000002,245.56085649999977
E1,island_off,ER-HLNS,overall,10,0.74,0.1744833643773653,0.775,0.4,0.95
E1,island_off,ER-HLNS,routine,10,0.6125,0.2853482278043989,0.625,0.125,1.0
E1,island_off,ER-HLNS,time_critical,10,0.825,0.1593292266633331,0.9166666666666666,0.5833333333333334,1.0
E1,island_off,ER-HLNS,PWCT,10,8617.69599264806,4297.72138718588,7165.497292099834,3618.30953411414,16977.016812969396
E1,island_off,ER-HLNS,runtime,10,144.55335598000002,25.746498138776765,151.34601375000005,94.42999180000004,176.2084967
E1,island_off,ER-HLNS-PR,overall,10,0.745,0.1847671206922078,0.775,0.45,0.95
E1,island_off,ER-HLNS-PR,routine,10,0.5875,0.2360702579035882,0.625,0.25,0.875
E1,island_off,ER-HLNS-PR,time_critical,10,0.85,0.1791612832955233,0.9166666666666669,0.5833333333333334,1.0
E1,island_off,ER-HLNS-PR,PWCT,10,8226.89611239173,4799.21613936673,6719.669574564858,3501.8858043500272,16109.251117509808
E1,island_off,ER-HLNS-PR,runtime,10,138.6547084,31.449634227056272,138.82420175000004,96.2692439,211.93131800000003
E1,island_on,C-ALNS,overall,10,0.6599999999999999,0.1308094458023238,0.725,0.45,0.8
E1,island_on,C-ALNS,routine,10,0.7875,0.177267061551522,0.75,0.375,1.0
E1,island_on,C-ALNS,time_critical,10,0.575,0.1861318396416773,0.5833333333333334,0.1666666666666666,0.8333333333333334
E1,island_on,C-ALNS,PWCT,10,12385.137047423968,4009.1775224492376,11128.200963579013,7858.468563736537,20041.534687178744
E1,island_on,C-ALNS,runtime,10,98.74827202000002,14.1121231194439,101.60036995,74.2431505,116.86674940000005
E1,island_on,C-ALNS-MP,overall,10,0.7,0.1699673171197594,0.7,0.45,0.95
E1,island_on,C-ALNS-MP,routine,10,0.8125,0.1792151097300547,0.875,0.375,1.0
E1,island_on,C-ALNS-MP,time_critical,10,0.625,0.252304196174791,0.5833333333333334,0.1666666666666666,1.0
E1,island_on,C-ALNS-MP,PWCT,10,11274.624050301834,5328.80132339365,11393.66109328852,2980.754085434531,20041.534687178744
E1,island_on,C-ALNS-MP,runtime,10,103.03731415999998,10.734852068502477,105.24566504999996,77.55205180000002,114.21513199999998
E1,island_on,ER-HLNS,overall,10,0.725,0.1111805338677194,0.725,0.6,0.9
E1,island_on,ER-HLNS,routine,10,0.6875,0.1792151097300547,0.6875,0.375,1.0
E1,island_on,ER-HLNS,time_critical,10,0.75,0.1666666666666666,0.75,0.5,1.0
E1,island_on,ER-HLNS,PWCT,10,9667.772393021702,3512.92649866902,9734.025123325167,2877.825430290181,13579.959565970314
E1,island_on,ER-HLNS,runtime,10,131.31695393,21.84939460087956,139.08804615,93.1323828,155.91258929999998
E1,island_on,ER-HLNS-PR,overall,10,0.76,0.1021980647783726,0.775,0.6,0.95
E1,island_on,ER-HLNS-PR,routine,10,0.6875,0.1692508000965825,0.625,0.375,1.0
E1,island_on,ER-HLNS-PR,time_critical,10,0.8083333333333333,0.1472484253410952,0.875,0.5833333333333334,1.0
E1,island_on,ER-HLNS-PR,PWCT,10,8448.582345563218,3126.9275783269863,8128.254812259458,2479.144776359102,13263.391814804623
E1,island_on,ER-HLNS-PR,runtime,10,135.70619173,14.928328861949096,138.93741160000002,103.33091069999998,161.36867840000002
