analysis_family,scenario,comparator,outcome,n_pairs,mean_mainline,mean_comparator,mean_difference_mainline_minus_comparator,median_difference_mainline_minus_comparator,bootstrap_mean_difference_ci95_low,bootstrap_mean_difference_ci95_high
lb_ablation,LB,A1_bare_ER,overall_completion,10,0.76,0.725,0.035,0.0499999999999999,0.01,0.06
lb_ablation,LB,A1_bare_ER,routine_completion,10,0.6875,0.6875,0.0,0.0,-0.05,0.05
lb_ablation,LB,A1_bare_ER,tc_completion,10,0.808333333333333,0.75,0.0583333333333333,0.0416666666666666,0.0166666666666667,0.1
lb_ablation,LB,A1_bare_ER,pwct_seconds,10,8448.58234556322,9667.7723930217,-1219.19004745848,-1150.31736136522,-1907.15238279988,-610.794644179002
lb_ablation,LB,A1_bare_ER,runtime_seconds,10,142.7538759,209.57280297,-66.81892707,-45.4963305,-126.3203806365,-24.7128930157499
lb_ablation,LB,A1_bare_ER,makespan_seconds,10,26836.0,26538.0,298.0,0.0,-1672.0,2534.0
lb_ablation,LB,A2_no_event_trigger,overall_completion,10,0.76,0.715,0.045,0.05,0.0049999999999999,0.08
lb_ablation,LB,A2_no_event_trigger,routine_completion,10,0.6875,0.6125,0.075,0.0625,0.0,0.15
lb_ablation,LB,A2_no_event_trigger,tc_completion,10,0.808333333333333,0.783333333333333,0.025,0.0,-0.025,0.075
lb_ablation,LB,A2_no_event_trigger,pwct_seconds,10,8448.58234556322,9428.21469948182,-979.632353918603,-1642.97661871381,-1930.8012633088,76.5656266693429
lb_ablation,LB,A2_no_event_trigger,runtime_seconds,10,142.7538759,186.8201717,-44.0662958,-33.52280925,-95.64432901825,-6.15233922524997
lb_ablation,LB,A2_no_event_trigger,makespan_seconds,10,26836.0,26616.0,220.0,0.0,-1704.0,2456.0
lb_ablation,LB,A3_no_affected_suffix_repair,overall_completion,10,0.76,0.77,-0.01,0.0,-0.05,0.03
lb_ablation,LB,A3_no_affected_suffix_repair,routine_completion,10,0.6875,0.6875,0.0,0.0,-0.075,0.0625
lb_ablation,LB,A3_no_affected_suffix_repair,tc_completion,10,0.808333333333333,0.825,-0.0166666666666667,0.0,-0.05,0.0166666666666666
lb_ablation,LB,A3_no_affected_suffix_repair,pwct_seconds,10,8448.58234556322,8209.74694707531,238.835398487905,32.3888219470809,-624.437102362863,1105.33120457839
lb_ablation,LB,A3_no_affected_suffix_repair,runtime_seconds,10,142.7538759,207.84842045,-65.09454455,-48.7583546000001,-115.0910349635,-27.1000510152499
lb_ablation,LB,A3_no_affected_suffix_repair,makespan_seconds,10,26836.0,26566.0,270.0,0.0,-1672.0,2418.0
lb_ablation,LB,A4_no_joint_corridor,overall_completion,10,0.76,0.695,0.065,0.05,0.035,0.1
lb_ablation,LB,A4_no_joint_corridor,routine_completion,10,0.6875,0.575,0.1125,0.125,0.025,0.2
lb_ablation,LB,A4_no_joint_corridor,tc_completion,10,0.808333333333333,0.775,0.0333333333333333,0.0416666666666666,-0.025,0.1
lb_ablation,LB,A4_no_joint_corridor,pwct_seconds,10,8448.58234556322,9742.48003680677,-1293.89769124355,-1011.47064668363,-2436.39737712109,-308.98602102706
lb_ablation,LB,A4_no_joint_corridor,runtime_seconds,10,142.7538759,200.76232471,-58.00844881,-48.5779308999999,-103.8318735235,-22.12393588375
lb_ablation,LB,A4_no_joint_corridor,makespan_seconds,10,26836.0,26538.0,298.0,0.0,-1672.0,2534.0
