seed,uav_safe_launch_count_total,uav_unsafe_launch_attempt_count_total,uav_unsafe_launch_block_count_total,uav_launch_gate_block_recovery_margin_count,uav_reject_cache_reason_insufficient_recovery_margin,uav_reject_cache_reason_energy_infeasible,uav_forced_recovery_count_total,uav_forced_recovery_due_to_low_battery_count_total,uav_distance_total_m,uav_energy_used_total
100,4.0,41.0,41.0,0.0,0.0,0.0,8.0,0.0,19163.88556367782,2.102160164730776
101,3.0,62.0,62.0,0.0,1.0,0.0,5.0,0.0,8633.303075243814,1.1903403375527817
102,6.0,71.0,71.0,309.0,39.0,0.0,8.0,1.0,24971.0559238329,3.5302502757442227
103,3.0,65.0,65.0,17.0,14.0,0.0,7.0,0.0,8749.761807589442,1.2078379961720809
104,6.0,46.0,46.0,2.0,0.0,0.0,7.0,0.0,19985.39617736284,2.125613929581048
105,6.0,61.0,61.0,785.0,49.0,0.0,10.0,0.0,23321.98356552704,2.347583326286911
106,5.0,84.0,84.0,0.0,0.0,0.0,7.0,0.0,18092.43106571475,1.8687631276835883
107,9.0,21.0,21.0,0.0,0.0,0.0,13.0,0.0,21738.58133499476,3.8922641319562543
108,4.0,83.0,83.0,28.0,8.0,0.0,8.0,1.0,8866.568771827686,1.300296286562046
109,5.0,42.0,42.0,57.0,44.0,0.0,8.0,0.0,13558.067370849589,2.1707430580103533
