family,condition,comparison,target,baseline,metric,n_pairs,paired_mean,paired_sd,bootstrap_replicates,bootstrap_ci_low,bootstrap_ci_high,wins,ties,losses,difference_direction,better_direction,sign_flip_p_exploratory,inference_label
E3,reserve_20,E3-PR-vs-E1-nominal,ER-HLNS-parallel-rescue,E1:island_on:ER-HLNS-parallel-rescue,overall,10,-0.0049999999999999,0.0158113883008418,10000,-0.0149999999999999,0.0,0,9,1,target_minus_baseline,higher,1.0,exploratory_only; not confirmatory
E3,reserve_20,E3-PR-vs-E1-nominal,ER-HLNS-parallel-rescue,E1:island_on:ER-HLNS-parallel-rescue,routine,10,-0.0125,0.0395284707521047,10000,-0.0375,0.0,0,9,1,target_minus_baseline,higher,1.0,exploratory_only; not confirmatory
E3,reserve_20,E3-PR-vs-E1-nominal,ER-HLNS-parallel-rescue,E1:island_on:ER-HLNS-parallel-rescue,time_critical,10,0.0,0.0,10000,0.0,0.0,0,10,0,target_minus_baseline,higher,1.0,exploratory_only; not confirmatory
E3,reserve_20,E3-PR-vs-E1-nominal,ER-HLNS-parallel-rescue,E1:island_on:ER-HLNS-parallel-rescue,PWCT,10,86.5222122848807,239.0060124489092,10000,0.0,238.5686395034414,0,8,2,target_minus_baseline,lower,0.5,exploratory_only; not confirmatory
E3,reserve_20,E3-PR-vs-E1-nominal,ER-HLNS-parallel-rescue,E1:island_on:ER-HLNS-parallel-rescue,runtime,10,92.62654258999991,44.51213548350733,10000,65.50962946999991,118.08066609000008,0,0,10,target_minus_baseline,lower,0.001953125,exploratory_only; not confirmatory
E3,reserve_40,E3-PR-vs-E1-nominal,ER-HLNS-parallel-rescue,E1:island_on:ER-HLNS-parallel-rescue,overall,10,0.0,0.0,10000,0.0,0.0,0,10,0,target_minus_baseline,higher,1.0,exploratory_only; not confirmatory
E3,reserve_40,E3-PR-vs-E1-nominal,ER-HLNS-parallel-rescue,E1:island_on:ER-HLNS-parallel-rescue,routine,10,0.0,0.0,10000,0.0,0.0,0,10,0,target_minus_baseline,higher,1.0,exploratory_only; not confirmatory
E3,reserve_40,E3-PR-vs-E1-nominal,ER-HLNS-parallel-rescue,E1:island_on:ER-HLNS-parallel-rescue,time_critical,10,0.0,0.0,10000,0.0,0.0,0,10,0,target_minus_baseline,higher,1.0,exploratory_only; not confirmatory
E3,reserve_40,E3-PR-vs-E1-nominal,ER-HLNS-parallel-rescue,E1:island_on:ER-HLNS-parallel-rescue,PWCT,10,16.38937720818394,51.82776140951289,10000,0.0,49.16813162455183,0,9,1,target_minus_baseline,lower,1.0,exploratory_only; not confirmatory
E3,reserve_40,E3-PR-vs-E1-nominal,ER-HLNS-parallel-rescue,E1:island_on:ER-HLNS-parallel-rescue,runtime,10,45.29272285999996,9.89470128115477,10000,39.80503574999993,51.26438398999994,0,0,10,target_minus_baseline,lower,0.001953125,exploratory_only; not confirmatory
E3,stalled_12,E3-PR-vs-E1-nominal,ER-HLNS-parallel-rescue,E1:island_on:ER-HLNS-parallel-rescue,overall,10,-0.0199999999999999,0.025819888974716,10000,-0.0349999999999999,-0.0049999999999999,0,6,4,target_minus_baseline,higher,0.125,exploratory_only; not confirmatory
E3,stalled_12,E3-PR-vs-E1-nominal,ER-HLNS-parallel-rescue,E1:island_on:ER-HLNS-parallel-rescue,routine,10,-0.025,0.0527046276694729,10000,-0.0625,0.0,0,8,2,target_minus_baseline,higher,0.5,exploratory_only; not confirmatory
E3,stalled_12,E3-PR-vs-E1-nominal,ER-HLNS-parallel-rescue,E1:island_on:ER-HLNS-parallel-rescue,time_critical,10,-0.0166666666666666,0.0351364184463152,10000,-0.0416666666666666,0.0,0,8,2,target_minus_baseline,higher,0.5,exploratory_only; not confirmatory
E3,stalled_12,E3-PR-vs-E1-nominal,ER-HLNS-parallel-rescue,E1:island_on:ER-HLNS-parallel-rescue,PWCT,10,442.897379299587,621.0285897721631,10000,76.4689370270551,828.022548016382,2,4,4,target_minus_baseline,lower,0.125,exploratory_only; not confirmatory
E3,stalled_12,E3-PR-vs-E1-nominal,ER-HLNS-parallel-rescue,E1:island_on:ER-HLNS-parallel-rescue,runtime,10,38.51270714999991,6.593595932412514,10000,34.222153799999866,41.87443384999989,0,0,10,target_minus_baseline,lower,0.001953125,exploratory_only; not confirmatory
E3,stalled_24,E3-PR-vs-E1-nominal,ER-HLNS-parallel-rescue,E1:island_on:ER-HLNS-parallel-rescue,overall,10,0.0049999999999999,0.0158113883008418,10000,0.0,0.0149999999999999,1,9,0,target_minus_baseline,higher,1.0,exploratory_only; not confirmatory
E3,stalled_24,E3-PR-vs-E1-nominal,ER-HLNS-parallel-rescue,E1:island_on:ER-HLNS-parallel-rescue,routine,10,0.0125,0.0395284707521047,10000,0.0,0.0375,1,9,0,target_minus_baseline,higher,1.0,exploratory_only; not confirmatory
E3,stalled_24,E3-PR-vs-E1-nominal,ER-HLNS-parallel-rescue,E1:island_on:ER-HLNS-parallel-rescue,time_critical,10,0.0,0.0,10000,0.0,0.0,0,10,0,target_minus_baseline,higher,1.0,exploratory_only; not confirmatory
E3,stalled_24,E3-PR-vs-E1-nominal,ER-HLNS-parallel-rescue,E1:island_on:ER-HLNS-parallel-rescue,PWCT,10,-76.93824276183614,243.30008629836595,10000,-230.8147282855084,0.0,1,9,0,target_minus_baseline,lower,1.0,exploratory_only; not confirmatory
E3,stalled_24,E3-PR-vs-E1-nominal,ER-HLNS-parallel-rescue,E1:island_on:ER-HLNS-parallel-rescue,runtime,10,43.35772844000007,8.844427260469127,10000,38.54065243000007,48.79164910000004,0,0,10,target_minus_baseline,lower,0.001953125,exploratory_only; not confirmatory
E3,radius_600,E3-PR-vs-E1-nominal,ER-HLNS-parallel-rescue,E1:island_on:ER-HLNS-parallel-rescue,overall,10,0.0,0.0,10000,0.0,0.0,0,10,0,target_minus_baseline,higher,1.0,exploratory_only; not confirmatory
E3,radius_600,E3-PR-vs-E1-nominal,ER-HLNS-parallel-rescue,E1:island_on:ER-HLNS-parallel-rescue,routine,10,0.0,0.0,10000,0.0,0.0,0,10,0,target_minus_baseline,higher,1.0,exploratory_only; not confirmatory
E3,radius_600,E3-PR-vs-E1-nominal,ER-HLNS-parallel-rescue,E1:island_on:ER-HLNS-parallel-rescue,time_critical,10,0.0,0.0,10000,0.0,0.0,0,10,0,target_minus_baseline,higher,1.0,exploratory_only; not confirmatory
E3,radius_600,E3-PR-vs-E1-nominal,ER-HLNS-parallel-rescue,E1:island_on:ER-HLNS-parallel-rescue,PWCT,10,0.0,0.0,10000,0.0,0.0,0,10,0,target_minus_baseline,lower,1.0,exploratory_only; not confirmatory
E3,radius_600,E3-PR-vs-E1-nominal,ER-HLNS-parallel-rescue,E1:island_on:ER-HLNS-parallel-rescue,runtime,10,-16.0244399000001,35.2690403813998,10000,-35.15846202000006,5.821295569999893,7,0,3,target_minus_baseline,lower,0.17578125,exploratory_only; not confirmatory
E3,radius_1000,E3-PR-vs-E1-nominal,ER-HLNS-parallel-rescue,E1:island_on:ER-HLNS-parallel-rescue,overall,10,-0.005,0.0158113883008419,10000,-0.015,0.0,0,9,1,target_minus_baseline,higher,1.0,exploratory_only; not confirmatory
E3,radius_1000,E3-PR-vs-E1-nominal,ER-HLNS-parallel-rescue,E1:island_on:ER-HLNS-parallel-rescue,routine,10,-0.025,0.0790569415042094,10000,-0.075,0.0,0,9,1,target_minus_baseline,higher,1.0,exploratory_only; not confirmatory
E3,radius_1000,E3-PR-vs-E1-nominal,ER-HLNS-parallel-rescue,E1:island_on:ER-HLNS-parallel-rescue,time_critical,10,0.0083333333333333,0.0263523138347364,10000,0.0,0.0249999999999999,1,9,0,target_minus_baseline,higher,1.0,exploratory_only; not confirmatory
