family,condition,method,metric,n,mean,sd,median,min,max
E3,radius_1000,ER-HLNS-PR,overall,10,0.755,0.1039497741967511,0.75,0.6,0.95
E3,radius_1000,ER-HLNS-PR,routine,10,0.6625,0.1958776545590526,0.625,0.375,1.0
E3,radius_1000,ER-HLNS-PR,time_critical,10,0.8166666666666667,0.1511274500970604,0.9166666666666666,0.5833333333333334,1.0
E3,radius_1000,ER-HLNS-PR,PWCT,10,8447.303915144834,3127.2313580060227,8121.862660167535,2479.144776359102,13263.391814804623
E3,radius_1000,ER-HLNS-PR,runtime,10,87.15298522999997,10.018748243462438,88.45905144999983,69.0398680000003,104.35160420000012
E3,radius_600,ER-HLNS-PR,overall,10,0.76,0.1021980647783726,0.775,0.6,0.95
E3,radius_600,ER-HLNS-PR,routine,10,0.6875,0.1692508000965825,0.625,0.375,1.0
E3,radius_600,ER-HLNS-PR,time_critical,10,0.8083333333333333,0.1472484253410952,0.875,0.5833333333333334,1.0
E3,radius_600,ER-HLNS-PR,PWCT,10,8448.582345563218,3126.9275783269863,8128.254812259458,2479.144776359102,13263.391814804623
E3,radius_600,ER-HLNS-PR,runtime,10,119.6817518299999,32.77670438626325,114.41387769999984,85.73498489999974,165.6605196999999
E3,reserve_20,ER-HLNS-PR,overall,10,0.755,0.1116791037850063,0.775,0.55,0.95
E3,reserve_20,ER-HLNS-PR,routine,10,0.675,0.1787300882460601,0.625,0.375,1.0
E3,reserve_20,ER-HLNS-PR,time_critical,10,0.8083333333333333,0.1472484253410952,0.875,0.5833333333333334,1.0
E3,reserve_20,ER-HLNS-PR,PWCT,10,8535.104557848099,3258.037191295148,8128.254812259458,2479.144776359102,14023.623950897429
E3,reserve_20,ER-HLNS-PR,runtime,10,228.33273431999996,50.86549428520641,250.9091631499998,133.18566889999963,286.0390189000004
E3,reserve_40,ER-HLNS-PR,overall,10,0.76,0.1021980647783726,0.775,0.6,0.95
E3,reserve_40,ER-HLNS-PR,routine,10,0.6875,0.1692508000965825,0.625,0.375,1.0
E3,reserve_40,ER-HLNS-PR,time_critical,10,0.8083333333333333,0.1472484253410952,0.875,0.5833333333333334,1.0
E3,reserve_40,ER-HLNS-PR,PWCT,10,8464.971722771403,3155.268862362164,8128.254812259458,2479.144776359102,13427.285586886464
E3,reserve_40,ER-HLNS-PR,runtime,10,180.99891459,15.133319611700358,181.0685624,161.38576539999983,202.74543889999995
E3,stalled_12,ER-HLNS-PR,overall,10,0.74,0.1125462867742275,0.775,0.55,0.9
E3,stalled_12,ER-HLNS-PR,routine,10,0.6625,0.1671866887311573,0.625,0.375,1.0
E3,stalled_12,ER-HLNS-PR,time_critical,10,0.7916666666666667,0.1678200829665912,0.875,0.5833333333333334,1.0
E3,stalled_12,ER-HLNS-PR,PWCT,10,8891.479724862806,3457.1765708777493,8120.647597116156,3271.5663359048217,14028.0948379748
E3,stalled_12,ER-HLNS-PR,runtime,10,174.21889887999993,20.988887812185663,180.33122120000007,125.71987279999983,206.13345990000016
E3,stalled_24,ER-HLNS-PR,overall,10,0.765,0.1055409346599171,0.775,0.6,0.95
E3,stalled_24,ER-HLNS-PR,routine,10,0.7,0.1687371394276382,0.6875,0.375,1.0
E3,stalled_24,ER-HLNS-PR,time_critical,10,0.8083333333333333,0.1472484253410952,0.875,0.5833333333333334,1.0
E3,stalled_24,ER-HLNS-PR,PWCT,10,8371.644102801381,3175.169781292151,8128.254812259458,2479.144776359102,13263.391814804623
E3,stalled_24,ER-HLNS-PR,runtime,10,179.06392017000007,17.46228368872512,181.0488281500002,134.25497810000024,200.85615489999964
