family,condition,scenario,method,seed,overall_completion_rate,routine_bulk_completion_rate,time_critical_lightweight_completion_rate,pwct_seconds,runtime_seconds,terminal_battery_rescue,runtime_crash_count,uav_drop_count,crash_count,physical_v2_uav_drop_count,physical_v2_forced_landing_count,physical_v2_uav_drop_runtime_count,UAV_DROP,FORCED_LANDING,MISSION_ABORT,ENERGY_EXHAUSTION,RECOVERY_FAILURE,uav_airborne_safety_abort_count,hard_constraint_violation_count,hard_failure_component_sum_not_unique,hard_failure_any
E1,island_off,LB,C-ALNS,100,0.8,0.625,0.9166666666666666,6871.267866712369,209.8831742,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
E1,island_off,LB,C-ALNS,101,0.45,0.875,0.1666666666666666,19987.346346881423,159.71183629999996,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
E1,island_off,LB,C-ALNS,102,0.75,0.875,0.6666666666666666,10420.555650637209,239.5118849999999,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
E1,island_off,LB,C-ALNS,103,0.75,0.875,0.6666666666666666,9716.164766943652,243.0087681,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
E1,island_off,LB,C-ALNS,104,0.5,0.25,0.6666666666666666,14707.30922084025,234.3004317,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
E1,island_off,LB,C-ALNS,105,0.75,0.625,0.8333333333333334,8050.4113081090845,238.4875132000002,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
E1,island_off,LB,C-ALNS,106,0.55,0.875,0.3333333333333333,16901.46076778292,223.1404506000001,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
E1,island_off,LB,C-ALNS,107,1.0,1.0,1.0,2142.263868114557,226.3960066000002,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
E1,island_off,LB,C-ALNS,108,0.85,1.0,0.75,7993.647819758897,216.97880170000008,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
E1,island_off,LB,C-ALNS,109,0.65,0.75,0.5833333333333334,12611.935390910705,222.67303330000004,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
E1,island_off,LB,C-ALNS-MP,100,0.75,0.625,0.8333333333333334,8318.92270000961,214.0316441,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
E1,island_off,LB,C-ALNS-MP,101,0.45,0.875,0.1666666666666666,19987.346346881423,160.1749503000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
E1,island_off,LB,C-ALNS-MP,102,0.75,0.875,0.6666666666666666,10501.870590277147,245.56085649999977,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
E1,island_off,LB,C-ALNS-MP,103,0.75,0.875,0.6666666666666666,9713.1986084788,237.9086552999997,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
E1,island_off,LB,C-ALNS-MP,104,0.55,0.25,0.75,12761.895712164547,230.7481929999999,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
E1,island_off,LB,C-ALNS-MP,105,0.75,0.625,0.8333333333333334,8345.290395690598,235.1559655000001,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
E1,island_off,LB,C-ALNS-MP,106,0.55,0.875,0.3333333333333333,16736.385301978313,245.27755210000032,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
E1,island_off,LB,C-ALNS-MP,107,0.9,0.75,1.0,4204.60662336426,229.16362519999984,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
E1,island_off,LB,C-ALNS-MP,108,0.8,1.0,0.6666666666666666,9688.591797201883,76.44230470000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
E1,island_off,LB,C-ALNS-MP,109,0.85,0.875,0.8333333333333334,6532.563383524049,190.3972786,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
E1,island_on,LB,C-ALNS,100,0.8,0.75,0.8333333333333334,7858.468563736537,113.1511192,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
E1,island_on,LB,C-ALNS,101,0.45,0.875,0.1666666666666666,20041.534687178744,74.2431505,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
E1,island_on,LB,C-ALNS,102,0.45,0.375,0.5,16956.084231613284,89.53807640000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
E1,island_on,LB,C-ALNS,103,0.75,1.0,0.5833333333333334,11096.290336202675,98.6010106,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
E1,island_on,LB,C-ALNS,104,0.55,0.75,0.4166666666666667,15672.722106306272,104.5997293,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
E1,island_on,LB,C-ALNS,105,0.7,0.75,0.6666666666666666,11160.111590955346,107.0289666,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
E1,island_on,LB,C-ALNS,106,0.65,0.75,0.5833333333333334,12730.707144380727,80.37564360000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
E1,island_on,LB,C-ALNS,107,0.75,0.75,0.75,7925.092714302859,93.9445411,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
E1,island_on,LB,C-ALNS,108,0.75,1.0,0.5833333333333334,10970.345171373152,116.86674940000005,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
E1,island_on,LB,C-ALNS,109,0.75,0.875,0.6666666666666666,9440.013928190074,109.1337335,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
E1,island_on,LB,C-ALNS-MP,100,0.75,0.75,0.75,9645.3555725978,104.43051830000002,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
E1,island_on,LB,C-ALNS-MP,101,0.45,0.875,0.1666666666666666,20041.534687178744,77.55205180000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
E1,island_on,LB,C-ALNS-MP,102,0.45,0.375,0.5,16942.442354123923,94.0556959,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
E1,island_on,LB,C-ALNS-MP,103,0.75,1.0,0.5833333333333334,11098.48592103276,100.2939518,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
E1,island_on,LB,C-ALNS-MP,104,0.7,0.875,0.5833333333333334,11632.273015883226,114.21513199999998,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
E1,island_on,LB,C-ALNS-MP,105,0.7,0.75,0.6666666666666666,11155.049170693816,109.40738359999996,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
E1,island_on,LB,C-ALNS-MP,106,0.65,0.75,0.5833333333333334,12501.087752999416,106.38233009999992,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
E1,island_on,LB,C-ALNS-MP,107,0.95,0.875,1.0,2980.754085434531,104.6853079,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
E1,island_on,LB,C-ALNS-MP,108,0.65,1.0,0.4166666666666667,13696.378636279458,113.54474799999991,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
E1,island_on,LB,C-ALNS-MP,109,0.95,0.875,1.0,3052.879306794672,105.80602219999992,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
E2,energy_0.8,LB,C-ALNS-MP,100,0.65,0.75,0.5833333333333334,12517.016452895408,212.0171746999995,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
E2,energy_0.8,LB,C-ALNS-MP,101,0.45,0.875,0.1666666666666666,20041.534687178744,160.35076230000004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
E2,energy_0.8,LB,C-ALNS-MP,102,0.45,0.375,0.5,16942.442354123923,219.4289908000001,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
E2,energy_0.8,LB,C-ALNS-MP,103,0.75,1.0,0.5833333333333334,10932.046424791875,215.94182779999937,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
E2,energy_0.8,LB,C-ALNS-MP,104,0.55,0.75,0.4166666666666667,15417.71427778837,205.34209869999995,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
E2,energy_0.8,LB,C-ALNS-MP,105,0.65,0.75,0.5833333333333334,12907.80143164633,225.34936279999965,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
E2,energy_0.8,LB,C-ALNS-MP,106,0.65,0.75,0.5833333333333334,12502.574214619975,221.6420154999996,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
E2,energy_0.8,LB,C-ALNS-MP,107,0.95,0.875,1.0,2811.843510314823,214.3886049999992,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
E2,energy_0.8,LB,C-ALNS-MP,108,0.65,1.0,0.4166666666666667,13696.378636279458,234.2375493999998,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
E2,energy_0.8,LB,C-ALNS-MP,109,0.85,0.875,0.8333333333333334,6369.297854312415,219.19705759999945,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
E2,energy_1.2,LB,C-ALNS-MP,100,0.65,0.75,0.5833333333333334,12517.016452895408,225.3270263999993,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
E2,energy_1.2,LB,C-ALNS-MP,101,0.45,0.875,0.1666666666666666,20041.534687178744,155.10865879999983,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
E2,energy_1.2,LB,C-ALNS-MP,102,0.45,0.375,0.5,16942.442354123923,188.2687490999997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
E2,energy_1.2,LB,C-ALNS-MP,103,0.75,1.0,0.5833333333333334,11098.48592103276,205.7041319,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
E2,energy_1.2,LB,C-ALNS-MP,104,0.7,0.875,0.5833333333333334,11600.21760022012,228.90800080000008,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
E2,energy_1.2,LB,C-ALNS-MP,105,0.7,0.75,0.6666666666666666,11159.056774731944,224.9334763999996,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
E2,energy_1.2,LB,C-ALNS-MP,106,0.7,0.75,0.6666666666666666,11131.943745967716,225.60161739999967,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
E2,energy_1.2,LB,C-ALNS-MP,107,0.9,0.875,0.9166666666666666,4271.565299610086,219.1997450000008,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
E2,energy_1.2,LB,C-ALNS-MP,108,0.65,1.0,0.4166666666666667,13696.378636279458,238.4161641999999,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
E2,energy_1.2,LB,C-ALNS-MP,109,0.9,0.875,0.9166666666666666,4321.440528878487,222.2242999,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
E2,wind_0.8,LB,C-ALNS-MP,100,0.85,0.875,0.8333333333333334,5924.906842617667,224.1970639000001,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
E2,wind_0.8,LB,C-ALNS-MP,101,0.45,0.75,0.25,19343.813836033947,160.93722119999984,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
E2,wind_0.8,LB,C-ALNS-MP,102,0.85,0.875,0.8333333333333334,7111.815518411112,248.6799499999997,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
E2,wind_0.8,LB,C-ALNS-MP,103,0.7,0.75,0.6666666666666666,10864.648198572811,220.42184989999987,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
E2,wind_0.8,LB,C-ALNS-MP,104,0.7,0.875,0.5833333333333334,11890.370220201865,235.8117803000005,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
E2,wind_0.8,LB,C-ALNS-MP,105,0.65,0.5,0.75,10859.122946083044,198.0509888999996,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
E2,wind_0.8,LB,C-ALNS-MP,106,0.55,0.75,0.4166666666666667,15484.178084607169,194.3664674000001,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
E2,wind_0.8,LB,C-ALNS-MP,107,0.95,0.875,1.0,1875.894416884582,226.0703895000006,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
E2,wind_0.8,LB,C-ALNS-MP,108,0.8,1.0,0.6666666666666666,9334.133940798956,228.22151740000027,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
E2,wind_0.8,LB,C-ALNS-MP,109,0.85,0.75,0.9166666666666666,5128.277768893868,215.3828743000004,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
E2,wind_1.2,LB,C-ALNS-MP,100,0.45,0.625,0.3333333333333333,18372.461324107466,149.93113450000055,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
E2,wind_1.2,LB,C-ALNS-MP,101,0.35,0.625,0.1666666666666666,21705.15589267868,125.7996551999995,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
E2,wind_1.2,LB,C-ALNS-MP,102,0.9,1.0,0.8333333333333334,7066.029065559294,259.9146527999992,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
E2,wind_1.2,LB,C-ALNS-MP,103,0.65,0.875,0.5,12678.240718121438,117.20280530000036,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
E2,wind_1.2,LB,C-ALNS-MP,104,0.65,0.875,0.5,13058.75292405698,239.2453469000002,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
E2,wind_1.2,LB,C-ALNS-MP,105,0.85,0.875,0.8333333333333334,7127.24214658394,234.41940980000072,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
E2,wind_1.2,LB,C-ALNS-MP,106,0.75,0.875,0.6666666666666666,9443.441141481964,175.2892641999997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
E2,wind_1.2,LB,C-ALNS-MP,107,0.85,0.75,0.9166666666666666,5381.791758803639,198.1974102999993,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
E2,wind_1.2,LB,C-ALNS-MP,108,0.8,0.875,0.75,8839.554404817689,224.2021200999997,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
E2,wind_1.2,LB,C-ALNS-MP,109,0.65,0.875,0.5,13421.701474432984,154.26759990000028,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
E1,island_off,LB,ER-HLNS,100,0.8,0.625,0.9166666666666666,6738.826431717874,94.42999180000004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
E1,island_off,LB,ER-HLNS,101,0.5,0.25,0.6666666666666666,13966.139121461883,138.14009589999995,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
E1,island_off,LB,ER-HLNS,102,0.95,0.875,1.0,4048.231341625056,156.43806099999995,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
E1,island_off,LB,ER-HLNS,103,0.75,0.875,0.6666666666666666,9609.472157602826,156.30097120000005,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
E1,island_off,LB,ER-HLNS,104,0.4,0.125,0.5833333333333334,16977.016812969396,176.2084967,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
E1,island_off,LB,ER-HLNS,105,0.75,0.375,1.0,6301.335011816864,154.47219969999998,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
E1,island_off,LB,ER-HLNS,106,0.8,0.625,0.9166666666666666,7592.168152481795,170.16803140000002,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
