scenario,seed,overall_completion_rate,routine_bulk_completion_rate,time_critical_lightweight_completion_rate,routine_bulk_completed_count_total,time_critical_lightweight_completed_count_total,delivered_task_last_step,runtime_seconds,terminal_battery_rescue,runtime_crash_count,uav_drop_count,crash_count,physical_v2_uav_drop_count,physical_v2_forced_landing_count,physical_v2_uav_drop_runtime_count,UAV_DROP,FORCED_LANDING,MISSION_ABORT,ENERGY_EXHAUSTION,RECOVERY_FAILURE,uav_airborne_safety_abort_count,hard_constraint_violation_count,hard_failure_component_sum_not_unique,hard_failure_any
L,100,0.4,1.0,0.0,8.0,0.0,245.0,12.876892899999998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
LB,100,0.3,0.75,0.0,6.0,0.0,234.0,44.0702749,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
M,100,0.5,1.0,0.0,6.0,0.0,99.0,2.8776432,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
MB,100,0.5,1.0,0.0,6.0,0.0,99.0,3.1316622,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
RB,100,0.4,1.0,0.0,8.0,0.0,268.0,37.969537200000005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
L,101,0.4,1.0,0.0,8.0,0.0,222.0,12.7708734,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
LB,101,0.4,1.0,0.0,8.0,0.0,255.0,16.189304899999996,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
M,101,0.5,1.0,0.0,6.0,0.0,79.0,3.1091232,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
MB,101,0.5,1.0,0.0,6.0,0.0,79.0,3.291201500000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
RB,101,0.4,1.0,0.0,8.0,0.0,272.0,36.4623124,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
L,102,0.4,1.0,0.0,8.0,0.0,296.0,12.614878,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
LB,102,0.15,0.375,0.0,3.0,0.0,193.0,59.27535520000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
M,102,0.5,1.0,0.0,6.0,0.0,62.0,3.173521299999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
MB,102,0.5,1.0,0.0,6.0,0.0,62.0,2.7742393000000005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
RB,102,0.4,1.0,0.0,8.0,0.0,282.0,39.1089506,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
L,103,0.4,1.0,0.0,8.0,0.0,293.0,13.433629500000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
LB,103,0.4,1.0,0.0,8.0,0.0,304.0,16.079165300000003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
M,103,0.5,1.0,0.0,6.0,0.0,134.0,2.9228673,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
MB,103,0.5,1.0,0.0,6.0,0.0,131.0,3.1280073,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
RB,103,0.4,1.0,0.0,8.0,0.0,325.0,45.4222707,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
L,104,0.4,1.0,0.0,8.0,0.0,152.0,13.9152689,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
LB,104,0.35,0.875,0.0,7.0,0.0,258.0,63.0391417,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
M,104,0.5,1.0,0.0,6.0,0.0,101.0,3.448993699999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
MB,104,0.5,1.0,0.0,6.0,0.0,106.0,3.1937489000000028,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
RB,104,0.35,0.875,0.0,7.0,0.0,307.0,128.4805799,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
L,105,0.4,1.0,0.0,8.0,0.0,166.0,16.384321300000003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
LB,105,0.3,0.75,0.0,6.0,0.0,182.0,58.029159,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
M,105,0.5,1.0,0.0,6.0,0.0,140.0,3.7048408,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
MB,105,0.5,1.0,0.0,6.0,0.0,140.0,3.998133899999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
RB,105,0.4,1.0,0.0,8.0,0.0,216.0,43.89502420000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
L,106,0.4,1.0,0.0,8.0,0.0,169.0,16.411983799999994,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
LB,106,0.3,0.75,0.0,6.0,0.0,277.0,57.2260396,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
M,106,0.5,1.0,0.0,6.0,0.0,84.0,3.784927099999997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
MB,106,0.5,1.0,0.0,6.0,0.0,84.0,3.881334100000004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
RB,106,0.4,1.0,0.0,8.0,0.0,325.0,53.0691359,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
L,107,0.4,1.0,0.0,8.0,0.0,143.0,15.864040099999997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
LB,107,0.35,0.875,0.0,7.0,0.0,116.0,59.8351559,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
M,107,0.5,1.0,0.0,6.0,0.0,110.0,4.003272899999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
MB,107,0.5,1.0,0.0,6.0,0.0,110.0,4.192816499999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
RB,107,0.35,0.875,0.0,7.0,0.0,289.0,115.8788693,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
L,108,0.4,1.0,0.0,8.0,0.0,186.0,15.636897100000011,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
LB,108,0.35,0.875,0.0,7.0,0.0,294.0,59.54269129999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
M,108,0.5,1.0,0.0,6.0,0.0,105.0,4.119856900000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
MB,108,0.5,1.0,0.0,6.0,0.0,105.0,3.869303099999996,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
RB,108,0.4,1.0,0.0,8.0,0.0,325.0,41.6157709,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
L,109,0.4,1.0,0.0,8.0,0.0,188.0,15.3333863,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
LB,109,0.35,0.875,0.0,7.0,0.0,390.0,45.02338449999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
M,109,0.5,1.0,0.0,6.0,0.0,197.0,3.795367500000012,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
MB,109,0.5,1.0,0.0,6.0,0.0,243.0,4.111830699999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
RB,109,0.4,1.0,0.0,8.0,0.0,295.0,39.11127899999998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
