scenario,seed,task_id,task_class,urgency_score,deadline_seconds,completed,completed_seconds,failed,failed_reason,final_status,completed_by_agent
M,100,task_routine_bulk_0,routine_bulk,0.4324145915121425,8400.0,1,1980.0,0,,delivered,truck_0
M,100,task_routine_bulk_1,routine_bulk,0.4140992421446602,8800.0,1,1760.0,0,,delivered,truck_1
M,100,task_routine_bulk_2,routine_bulk,0.4007784338787704,9200.0,1,640.0,0,,delivered,truck_1
M,100,task_routine_bulk_3,routine_bulk,0.3976647114513238,9600.0,1,520.0,0,,delivered,truck_0
M,100,task_routine_bulk_4,routine_bulk,0.5914487685478238,10000.0,1,1320.0,0,,delivered,truck_0
M,100,task_routine_bulk_5,routine_bulk,0.328770105116882,10400.0,1,1260.0,0,,delivered,truck_1
M,100,task_time_critical_lightweight_0,time_critical_lightweight,0.9397974686106848,5280.0,0,-1.0,1,deadline_exceeded,failed,
M,100,task_time_critical_lightweight_1,time_critical_lightweight,0.8225553554974787,5480.0,0,-1.0,1,deadline_exceeded,failed,
M,100,task_time_critical_lightweight_2,time_critical_lightweight,0.7394945186779769,5200.0,0,-1.0,1,deadline_exceeded,failed,
M,100,task_time_critical_lightweight_3,time_critical_lightweight,0.7247204111315948,5400.0,0,-1.0,1,deadline_exceeded,failed,
M,100,task_time_critical_lightweight_4,time_critical_lightweight,0.896835108136788,5600.0,0,-1.0,1,deadline_exceeded,failed,
M,100,task_time_critical_lightweight_5,time_critical_lightweight,0.9503596515948592,5800.0,0,-1.0,1,deadline_exceeded,failed,
MB,100,task_routine_bulk_0,routine_bulk,0.4324145915121425,8400.0,1,1980.0,0,,delivered,truck_0
MB,100,task_routine_bulk_1,routine_bulk,0.4140992421446602,8800.0,1,1760.0,0,,delivered,truck_1
MB,100,task_routine_bulk_2,routine_bulk,0.4007784338787704,9200.0,1,640.0,0,,delivered,truck_1
MB,100,task_routine_bulk_3,routine_bulk,0.3976647114513238,9600.0,1,520.0,0,,delivered,truck_0
MB,100,task_routine_bulk_4,routine_bulk,0.5914487685478238,10000.0,1,1320.0,0,,delivered,truck_0
MB,100,task_routine_bulk_5,routine_bulk,0.328770105116882,10400.0,1,1260.0,0,,delivered,truck_1
MB,100,task_time_critical_lightweight_0,time_critical_lightweight,0.9397974686106848,5280.0,0,-1.0,1,lifeline_zero,failed,
MB,100,task_time_critical_lightweight_1,time_critical_lightweight,0.8225553554974787,5480.0,0,-1.0,1,deadline_exceeded,failed,
MB,100,task_time_critical_lightweight_2,time_critical_lightweight,0.7394945186779769,5200.0,0,-1.0,1,deadline_exceeded,failed,
MB,100,task_time_critical_lightweight_3,time_critical_lightweight,0.7247204111315948,5400.0,0,-1.0,1,deadline_exceeded,failed,
MB,100,task_time_critical_lightweight_4,time_critical_lightweight,0.896835108136788,5600.0,0,-1.0,1,lifeline_zero,failed,
MB,100,task_time_critical_lightweight_5,time_critical_lightweight,0.9503596515948592,5800.0,0,-1.0,1,lifeline_zero,failed,
M,101,task_routine_bulk_0,routine_bulk,0.2123221882204038,8400.0,1,1580.0,0,,delivered,truck_1
M,101,task_routine_bulk_1,routine_bulk,0.4294530095258699,8800.0,1,1020.0,0,,delivered,truck_0
M,101,task_routine_bulk_2,routine_bulk,0.3418716148859612,9200.0,1,320.0,0,,delivered,truck_1
M,101,task_routine_bulk_3,routine_bulk,0.3388113698450704,9600.0,1,400.0,0,,delivered,truck_0
M,101,task_routine_bulk_4,routine_bulk,0.3483742810841244,10000.0,1,780.0,0,,delivered,truck_1
M,101,task_routine_bulk_5,routine_bulk,0.3001636801318801,10400.0,1,840.0,0,,delivered,truck_0
M,101,task_time_critical_lightweight_0,time_critical_lightweight,0.9454463243876028,4800.0,0,-1.0,1,deadline_exceeded,failed,
M,101,task_time_critical_lightweight_1,time_critical_lightweight,0.8411762773294251,5000.0,0,-1.0,1,deadline_exceeded,failed,
M,101,task_time_critical_lightweight_2,time_critical_lightweight,0.9520782261938804,5200.0,0,-1.0,1,deadline_exceeded,failed,
M,101,task_time_critical_lightweight_3,time_critical_lightweight,0.870264126816161,5880.0,0,-1.0,1,deadline_exceeded,failed,
M,101,task_time_critical_lightweight_4,time_critical_lightweight,0.9356852693781008,5600.0,0,-1.0,1,deadline_exceeded,failed,
M,101,task_time_critical_lightweight_5,time_critical_lightweight,0.8409770997824026,6280.0,0,-1.0,1,deadline_exceeded,failed,
MB,101,task_routine_bulk_0,routine_bulk,0.2123221882204038,8400.0,1,1580.0,0,,delivered,truck_1
MB,101,task_routine_bulk_1,routine_bulk,0.4294530095258699,8800.0,1,1020.0,0,,delivered,truck_0
MB,101,task_routine_bulk_2,routine_bulk,0.3418716148859612,9200.0,1,320.0,0,,delivered,truck_1
MB,101,task_routine_bulk_3,routine_bulk,0.3388113698450704,9600.0,1,400.0,0,,delivered,truck_0
MB,101,task_routine_bulk_4,routine_bulk,0.3483742810841244,10000.0,1,780.0,0,,delivered,truck_1
MB,101,task_routine_bulk_5,routine_bulk,0.3001636801318801,10400.0,1,840.0,0,,delivered,truck_0
MB,101,task_time_critical_lightweight_0,time_critical_lightweight,0.9454463243876028,4800.0,0,-1.0,1,lifeline_zero,failed,
MB,101,task_time_critical_lightweight_1,time_critical_lightweight,0.8411762773294251,5000.0,0,-1.0,1,deadline_exceeded,failed,
MB,101,task_time_critical_lightweight_2,time_critical_lightweight,0.9520782261938804,5200.0,0,-1.0,1,lifeline_zero,failed,
MB,101,task_time_critical_lightweight_3,time_critical_lightweight,0.870264126816161,5880.0,0,-1.0,1,lifeline_zero,failed,
MB,101,task_time_critical_lightweight_4,time_critical_lightweight,0.9356852693781008,5600.0,0,-1.0,1,lifeline_zero,failed,
MB,101,task_time_critical_lightweight_5,time_critical_lightweight,0.8409770997824026,6280.0,0,-1.0,1,lifeline_zero,failed,
M,102,task_routine_bulk_0,routine_bulk,0.4158610043098186,8400.0,1,1200.0,0,,delivered,truck_1
M,102,task_routine_bulk_1,routine_bulk,0.5977462366875133,8800.0,1,980.0,0,,delivered,truck_0
M,102,task_routine_bulk_2,routine_bulk,0.2649238288532186,9200.0,1,500.0,0,,delivered,truck_0
M,102,task_routine_bulk_3,routine_bulk,0.4902572300255953,9600.0,1,580.0,0,,delivered,truck_1
M,102,task_routine_bulk_4,routine_bulk,0.2585641680908525,10000.0,1,1240.0,0,,delivered,truck_0
M,102,task_routine_bulk_5,routine_bulk,0.2216420793743435,10400.0,1,340.0,0,,delivered,truck_1
M,102,task_time_critical_lightweight_0,time_critical_lightweight,0.8718878438677264,4800.0,0,-1.0,1,deadline_exceeded,failed,
M,102,task_time_critical_lightweight_1,time_critical_lightweight,0.7341033402458849,5000.0,0,-1.0,1,deadline_exceeded,failed,
M,102,task_time_critical_lightweight_2,time_critical_lightweight,0.8482032178872525,5680.0,0,-1.0,1,deadline_exceeded,failed,
M,102,task_time_critical_lightweight_3,time_critical_lightweight,0.9931253628553808,5400.0,0,-1.0,1,deadline_exceeded,failed,
M,102,task_time_critical_lightweight_4,time_critical_lightweight,0.7886954391183361,6080.0,0,-1.0,1,deadline_exceeded,failed,
M,102,task_time_critical_lightweight_5,time_critical_lightweight,0.7875703675159171,5800.0,0,-1.0,1,deadline_exceeded,failed,
MB,102,task_routine_bulk_0,routine_bulk,0.4158610043098186,8400.0,1,1200.0,0,,delivered,truck_1
MB,102,task_routine_bulk_1,routine_bulk,0.5977462366875133,8800.0,1,980.0,0,,delivered,truck_0
MB,102,task_routine_bulk_2,routine_bulk,0.2649238288532186,9200.0,1,500.0,0,,delivered,truck_0
MB,102,task_routine_bulk_3,routine_bulk,0.4902572300255953,9600.0,1,580.0,0,,delivered,truck_1
MB,102,task_routine_bulk_4,routine_bulk,0.2585641680908525,10000.0,1,1240.0,0,,delivered,truck_0
MB,102,task_routine_bulk_5,routine_bulk,0.2216420793743435,10400.0,1,340.0,0,,delivered,truck_1
MB,102,task_time_critical_lightweight_0,time_critical_lightweight,0.8718878438677264,4800.0,0,-1.0,1,deadline_exceeded,failed,
MB,102,task_time_critical_lightweight_1,time_critical_lightweight,0.7341033402458849,5000.0,0,-1.0,1,deadline_exceeded,failed,
MB,102,task_time_critical_lightweight_2,time_critical_lightweight,0.8482032178872525,5680.0,0,-1.0,1,lifeline_zero,failed,
MB,102,task_time_critical_lightweight_3,time_critical_lightweight,0.9931253628553808,5400.0,0,-1.0,1,lifeline_zero,failed,
MB,102,task_time_critical_lightweight_4,time_critical_lightweight,0.7886954391183361,6080.0,0,-1.0,1,lifeline_zero,failed,
MB,102,task_time_critical_lightweight_5,time_critical_lightweight,0.7875703675159171,5800.0,0,-1.0,1,lifeline_zero,failed,
M,103,task_routine_bulk_0,routine_bulk,0.5839491354317281,8400.0,1,2680.0,0,,delivered,truck_0
M,103,task_routine_bulk_1,routine_bulk,0.2447230478100463,8800.0,1,2100.0,0,,delivered,truck_0
M,103,task_routine_bulk_2,routine_bulk,0.2223484090846097,9200.0,1,1160.0,0,,delivered,truck_1
M,103,task_routine_bulk_3,routine_bulk,0.4595358456488901,9600.0,1,1540.0,0,,delivered,truck_1
M,103,task_routine_bulk_4,routine_bulk,0.2147018169976778,10000.0,1,660.0,0,,delivered,truck_0
M,103,task_routine_bulk_5,routine_bulk,0.348426191734089,10400.0,1,460.0,0,,delivered,truck_1
M,103,task_time_critical_lightweight_0,time_critical_lightweight,0.8219733410759611,5280.0,0,-1.0,1,deadline_exceeded,failed,
M,103,task_time_critical_lightweight_1,time_critical_lightweight,0.7214557187625316,5000.0,0,-1.0,1,deadline_exceeded,failed,
M,103,task_time_critical_lightweight_2,time_critical_lightweight,0.7025638712733031,5680.0,0,-1.0,1,deadline_exceeded,failed,
M,103,task_time_critical_lightweight_3,time_critical_lightweight,0.7989693713907424,5400.0,0,-1.0,1,deadline_exceeded,failed,
M,103,task_time_critical_lightweight_4,time_critical_lightweight,0.8378016103185534,5600.0,0,-1.0,1,deadline_exceeded,failed,
M,103,task_time_critical_lightweight_5,time_critical_lightweight,0.7725066840430133,5800.0,0,-1.0,1,deadline_exceeded,failed,
MB,103,task_routine_bulk_0,routine_bulk,0.5839491354317281,8400.0,1,2620.0,0,,delivered,truck_0
MB,103,task_routine_bulk_1,routine_bulk,0.2447230478100463,8800.0,1,2040.0,0,,delivered,truck_0
MB,103,task_routine_bulk_2,routine_bulk,0.2223484090846097,9200.0,1,1160.0,0,,delivered,truck_1
MB,103,task_routine_bulk_3,routine_bulk,0.4595358456488901,9600.0,1,1540.0,0,,delivered,truck_1
MB,103,task_routine_bulk_4,routine_bulk,0.2147018169976778,10000.0,1,660.0,0,,delivered,truck_0
MB,103,task_routine_bulk_5,routine_bulk,0.348426191734089,10400.0,1,460.0,0,,delivered,truck_1
MB,103,task_time_critical_lightweight_0,time_critical_lightweight,0.8219733410759611,5280.0,0,-1.0,1,deadline_exceeded,failed,
MB,103,task_time_critical_lightweight_1,time_critical_lightweight,0.7214557187625316,5000.0,0,-1.0,1,deadline_exceeded,failed,
MB,103,task_time_critical_lightweight_2,time_critical_lightweight,0.7025638712733031,5680.0,0,-1.0,1,lifeline_zero,failed,
MB,103,task_time_critical_lightweight_3,time_critical_lightweight,0.7989693713907424,5400.0,0,-1.0,1,lifeline_zero,failed,
MB,103,task_time_critical_lightweight_4,time_critical_lightweight,0.8378016103185534,5600.0,0,-1.0,1,lifeline_zero,failed,
MB,103,task_time_critical_lightweight_5,time_critical_lightweight,0.7725066840430133,5800.0,0,-1.0,1,lifeline_zero,failed,
L,100,task_routine_bulk_0,routine_bulk,0.5914487685478238,19200.0,1,1540.0,0,,delivered,truck_0
L,100,task_routine_bulk_1,routine_bulk,0.328770105116882,20400.0,1,840.0,0,,delivered,truck_2
L,100,task_routine_bulk_2,routine_bulk,0.5197299581475797,21600.0,1,2400.0,0,,delivered,truck_1
L,100,task_routine_bulk_3,routine_bulk,0.363407140663305,22800.0,1,2400.0,0,,delivered,truck_2
L,100,task_routine_bulk_4,routine_bulk,0.2526593582373026,24000.0,1,1720.0,0,,delivered,truck_2
L,100,task_routine_bulk_5,routine_bulk,0.2329605481754598,25200.0,1,1340.0,0,,delivered,truck_0
L,100,task_routine_bulk_6,routine_bulk,0.4624468108490506,26400.0,1,4900.0,0,,delivered,truck_0
L,100,task_routine_bulk_7,routine_bulk,0.5338128687931456,27600.0,1,1320.0,0,,delivered,truck_1
L,100,task_time_critical_lightweight_0,time_critical_lightweight,0.8572362469902544,12000.0,0,-1.0,1,lifeline_zero,failed,
L,100,task_time_critical_lightweight_1,time_critical_lightweight,0.7681740887900437,12600.0,0,-1.0,1,lifeline_zero,failed,
L,100,task_time_critical_lightweight_2,time_critical_lightweight,0.8022891552475101,13200.0,0,-1.0,1,lifeline_zero,failed,
L,100,task_time_critical_lightweight_3,time_critical_lightweight,0.960215083465178,14760.0,0,-1.0,1,lifeline_zero,failed,
L,100,task_time_critical_lightweight_4,time_critical_lightweight,0.8154167223421255,14400.0,0,-1.0,1,lifeline_zero,failed,
L,100,task_time_critical_lightweight_5,time_critical_lightweight,0.9867416871112792,15960.0,0,-1.0,1,lifeline_zero,failed,
L,100,task_time_critical_lightweight_6,time_critical_lightweight,0.8746488677361269,15600.0,0,-1.0,1,lifeline_zero,failed,
L,100,task_time_critical_lightweight_7,time_critical_lightweight,0.7446621799769354,17160.0,0,-1.0,1,lifeline_zero,failed,
